rel_path,size_bytes,row_count,column_order,raw_sha256,normalized_sha256,comparison_class
execute/attempt_1/trade_actions.csv,227,1,"[""action"", ""symbol_id"", ""exchange"", ""side"", ""quantity"", ""requested_price"", ""strategy_mode"", ""reason"", ""metadata""]",408c77b3e37e07234ac56e4c9fefa6a2cbc4235067b73c4c34447214c39352ef,1b6b2f3724ae6927f20670d9071df2d223a729a45a3fe5bd8aa13a465d0ad465,STRICT
features_sector_earnings/attempt_1/sector_earnings_leadership.csv,7837,23,"[""sector_name"", ""report_date"", ""sector_sales_yoy_growth"", ""sector_sales_qoq_growth"", ""sector_profit_yoy_growth"", ""sector_profit_qoq_growth"", ""median_sales_yoy_growth"", ""median_profit_yoy_growth"", ""sales_yoy_positive_pct"", ""profit_yoy_positive_pct"", ""margin_expansion_pct"", ""sales_yoy_rank"", ""sales_qoq_rank"", ""profit_yoy_rank"", ""median_profit_rank"", ""sales_breadth_rank"", ""margin_rank"", ""sector_earnings_growth_score"", ""earnings_trend_label""]",28462eb4ceab391b962bbe13a100955fd18f22693793953c2d61b7140c1a33fe,32f13d413b2e261ac3b79cd8888942f8c39b6b4fe49bad38e22a593deb657447,CONTENT
features_stock_valuation_bands/attempt_1/stock_valuation_bands_latest.csv,532849,1000,"[""universe_id"", ""date"", ""symbol"", ""sector_name"", ""pe_ttm"", ""ps_ttm"", ""pb"", ""pe_median_3y"", ""pe_median_5y"", ""ps_median_3y"", ""ps_median_5y"", ""pb_median_3y"", ""pb_median_5y"", ""pe_pctile_3y"", ""pe_pctile_5y"", ""ps_pctile_3y"", ""ps_pctile_5y"", ""pb_pctile_3y"", ""pb_pctile_5y"", ""pe_vs_3y_median_pct"", ""pe_vs_5y_median_pct"", ""ps_vs_3y_median_pct"", ""ps_vs_5y_median_pct"", ""pb_vs_3y_median_pct"", ""pb_vs_5y_median_pct"", ""valuation_history_score"", ""valuation_history_bucket"", ""valuation_reason"", ""observations_3y"", ""observations_5y"", ""created_at""]",c0c51b03d4423ca2268330818277ca30154cba5a44af06796f3ebaf197e44c80,556dc90c614d21c8477c854d9edfa7a7cf2cc094884164f00af7ec0d54352047,CONTENT
fundamentals/attempt_1/company_growth_features.csv,4952477,16055,"[""symbol"", ""report_date"", ""available_at"", ""sales_cr"", ""net_profit_cr"", ""operating_profit_cr"", ""opm_pct"", ""npm_pct"", ""sales_qoq_growth"", ""sales_yoy_growth"", ""profit_qoq_growth"", ""profit_yoy_growth"", ""operating_profit_qoq_growth"", ""operating_profit_yoy_growth"", ""opm_qoq_change"", ""opm_yoy_change"", ""npm_qoq_change"", ""npm_yoy_change"", ""sales_4q_cagr"", ""profit_4q_cagr"", ""sales_8q_cagr"", ""profit_8q_cagr"", ""positive_profit_quarters_4q"", ""sales_growth_positive_quarters_4q"", ""profit_growth_positive_quarters_4q"", ""margin_expansion_quarters_4q"", ""created_at"", ""statement_basis""]",3ce594f9f3b26544a70b51cc647426435dfa12203ce83b25eddcf196b2374c41,b5626b87253b85c6b83e70697ecac0ce19fa5f730808396652bfe156669580fd,CONTENT
fundamentals/attempt_1/company_insight_tags.csv,5637955,20700,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence_json"", ""created_at""]",af00343343a8d71b107109e7ef3215a1ad8c18e683313b7680a9f740e3233425,0f2e2ba7a2237e9cd3f695a8e47858c65bd918834f8af2eafb4ca44685b3c637,CONTENT
fundamentals/attempt_1/compounder_candidates.csv,124564,440,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence_json"", ""created_at""]",2b5d5db9bb8834183f6526c8433a981883c3c2ed1a9d2fd5c9790b8e039670bc,da29d4f738cabb25a0535cf056c9e5a146a561e8936da04f73eb1eb5eb490a5d,CONTENT
fundamentals/attempt_1/compounder_candidates_latest.csv,12514,100,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence"", ""sales_yoy_growth"", ""profit_yoy_growth"", ""profit_qoq_growth"", ""opm_yoy_change"", ""net_profit_cr""]",5e77903b47a11393034cf84ef0e7a53b74ce7cf20330aeab9bfc0eb07aa50ba5,f479004ec1cf7f22028e0d80d3fce0dad2b83a912345f148388c5df460221c5c,CONTENT
fundamentals/attempt_1/fundamental_scores.csv,221987,1596,"[""snapshot_date"", ""symbol"", ""name"", ""industry_group"", ""industry"", ""quality_score"", ""growth_score"", ""balance_sheet_score"", ""valuation_score"", ""ownership_score"", ""fundamental_score"", ""fundamental_tier"", ""red_flags"", ""hard_red_flag"", ""screener_snapshot_date""]",0c2bac55ae429161e2a2d0c66d57f2c85e708a0808974f78b15d554a644cadc3,a83fde6593cb57b7e35f96a90d6bd12f10ac4069038e739f4f100efd8d4f3781,CONTENT
fundamentals/attempt_1/great_results.csv,1947234,6750,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence_json"", ""created_at""]",df984e7edba62c263fdcc5aed4b498b8a9e67907eec5895a2b92384271fe94ab,242e361a03b02b94bef89feded6e40af6e5439c115933230a7a4dd17440ba852,CONTENT
fundamentals/attempt_1/great_results_latest.csv,12592,100,"[""symbol"", ""report_date"", ""insight_type"", ""insight_score"", ""evidence"", ""sales_yoy_growth"", ""profit_yoy_growth"", ""profit_qoq_growth"", ""opm_yoy_change"", ""net_profit_cr""]",529045663a99a2d9cadcf1a72bfd542717a4bff0531bdaccc60abca160bb4eb4,2ea99d6718efb187188fc08aaa7b239d485a0b8712163404d2cb742d5eb48631,CONTENT
