Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04022025,1161950141,0002631
Trade Date <04-FEB-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,220,110,50.00
20,2,0MOFSL27,N3,325,325,100.00
20,3,1003IIFL29,NC,23,23,100.00
20,4,1003ISFL28,N4,697,697,100.00
20,5,1015ECL29,NR,245,150,61.22
20,6,1015UCL26,N1,55,55,100.00
20,7,1018GS2026,GS,2649,2649,100.00
20,8,1035UCL26,NA,138,104,75.36
20,9,1050IIFL29,ND,27,27,100.00
20,10,1050ISFL28,N5,79,67,84.81
20,11,1050NFL26,N7,255,255,100.00
20,12,105IIFL29,N7,40,40,100.00
20,13,1060ECL29,NS,165,165,100.00
20,14,1065NFL27,NC,535,535,100.00
20,15,10CAGL27,N5,132,66,50.00
20,16,10IIFL28,N4,552,551,99.82
20,17,10IIFL28A,NE,342,237,69.30
20,18,10IIFL29,N6,14,14,100.00
20,19,10NFL25,N9,6,6,100.00
20,20,10NIDO26,N6,101,101,100.00
20,21,10SCL30A,BV,10,10,100.00
20,22,182D100425,TB,14100,10100,71.63
20,23,182D170725,TB,300,200,66.67
20,24,182D270225,TB,100,100,100.00
20,25,20MICRONS,EQ,103124,63089,61.18
20,26,360ONE,EQ,566369,311409,54.98
20,27,364D030425,TB,6800,6800,100.00
20,28,364D060325,TB,200,100,50.00
20,29,364D280825,TB,200,100,50.00
20,30,3IINFOLTD,EQ,351077,175800,50.07
20,31,3MINDIA,EQ,15347,6577,42.86
20,32,515GS2025,GS,200,100,50.00
20,33,574GS2026,GS,13,13,100.00
20,34,5PAISA,EQ,118186,44488,37.64
20,35,63MOONS,EQ,61687,46579,75.51
20,36,654GS2032,GS,32092,32091,100.00
20,37,664GS2027,GS,100,100,100.00
20,38,667GS2050,GS,2,2,100.00
20,39,675GS2029,GS,100,100,100.00
20,40,676GS2061,GS,37043,37043,100.00
20,41,679GS2031,GS,100,100,100.00
20,42,679GS2034A,GS,10,10,100.00
20,43,695GS2061,GS,5,5,100.00
20,44,697GR2034,GS,107,107,100.00
20,45,699GS2051,GS,2080,2080,100.00
20,46,702GS2027,GS,466,446,95.71
20,47,704GS2029,GS,20600,10600,51.46
20,48,706GS2028,GS,1,1,100.00
20,49,709GS2054,GS,318431,264216,82.97
20,50,710GS2029,GS,120823,120321,99.58
20,51,717GS2030,GS,28927,28926,100.00
20,52,718GS2033,GS,4200,4200,100.00
20,53,718GS2037,GS,105852,105852,100.00
20,54,719GS2060,GS,100,100,100.00
20,55,71GS2034,GS,8520,8520,100.00
20,56,725GS2063,GS,17460,17460,100.00
20,57,726GS2032,GS,5001,3001,60.01
20,58,726GS2033,GS,1,1,100.00
20,59,727GS2026,GS,19577,19556,99.89
20,60,729NHAI26,NC,38,38,100.00
20,61,732GS2030,GS,1000,1000,100.00
20,62,732IRFC25,NI,59,59,100.00
20,63,733GS2026,GS,201,201,100.00
20,64,734GS2064,GS,1765,1765,100.00
20,65,736GS2052,GS,1001,1001,100.00
20,66,737GS2028,GS,3025,3025,100.00
20,67,738GS2027,GS,15483,14151,91.40
20,68,738REC27TF,N2,10,10,100.00
20,69,739NHAI31A,ND,40,40,100.00
20,70,73GS2053,GS,1500,1500,100.00
20,71,740IIFCL33,N1,150,46,30.67
20,72,741GS2036,GS,5503,5503,100.00
20,73,746GS2073,GS,770,770,100.00
20,74,74GS2062,GS,14,7,50.00
20,75,750IRFC35,NK,10,10,100.00
20,76,751HUDCO28,N5,810,810,100.00
20,77,753IRFC30,NJ,1,1,100.00
20,78,754GS2036,GS,501478,491351,97.98
20,79,757GS2033,GS,7100,7000,98.59
20,80,764HUDCO31,N8,64,64,100.00
20,81,764IRFC31,NO,1853,1828,98.65
20,82,769HUDCO31,N9,1,1,100.00
20,83,769NHAI31,NE,1,1,100.00
20,84,76NHAI31,NA,7223,7223,100.00
20,85,774IREDA31,N7,120,120,100.00
20,86,774TS35,SG,200,100,50.00
20,87,79NHIT35,N1,2,1,50.00
20,88,79NHIT40,N2,470,470,100.00
20,89,79NHIT47,N3,677,675,99.70
20,90,805ABFL28,N2,10,5,50.00
20,91,810IRFC27,N2,796,783,98.37
20,92,812REC27,NI,100,50,50.00
20,93,81ABFL33,N5,3,3,100.00
20,94,81TCHF28,N8,544,544,100.00
20,95,820IIFL27,N9,118,118,100.00
20,96,824GS2027,GS,1301,1301,100.00
20,97,828GS2027,GS,192,192,100.00
20,98,82HUDCO27,N2,595,380,63.87
20,99,82IGT31,NJ,50,50,100.00
20,100,830NHAI27,N2,1076,874,81.23
20,101,830PFCL27,N5,330,330,100.00
20,102,842IIFL26,NL,434,434,100.00
20,103,843IHFL29,NC,20,20,100.00
20,104,849NTPC25,N7,138148,138148,100.00
20,105,850IIFL27,NA,71,71,100.00
20,106,850NHAI29,N5,8,8,100.00
20,107,865IFL28,NZ,111,111,100.00
20,108,865IIFL28,NS,132,131,99.24
20,109,865IRFC29,NA,1,1,100.00
20,110,865LTF26,NN,2,2,100.00
20,111,866IIFC34B,N3,100,100,100.00
20,112,871REC28,N9,2545,2283,89.71
20,113,875IIFL26,NM,50,50,100.00
20,114,875IIFL26A,NQ,25,25,100.00
20,115,875NHAI29,N6,878,875,99.66
20,116,87LTF27,NH,14,14,100.00
20,117,885IHL26,N1,90,90,100.00
20,118,885TCAPS29,NC,25,25,100.00
20,119,888ERFL28,N5,1,1,100.00
20,120,888IHFL25F,NC,10,10,100.00
20,121,888IRFC29,NE,883,833,94.34
20,122,888REC29,NF,514,514,100.00
20,123,888SCL25E,N4,100,100,100.00
20,124,891IIFCL34,N4,35,35,100.00
20,125,891NTPC33,N6,30,30,100.00
20,126,892PFCL33,N8,482,332,68.88
20,127,893NHB29,N6,30,30,100.00
20,128,897GS2030,GS,730,615,84.25
20,129,898LTF29,N7,95,50,52.63
20,130,901HUDCO34,NE,50,50,100.00
20,131,901NHB34,N6,218,198,90.83
20,132,905PEL26,N1,2,1,50.00
20,133,905SC24B,Z9,134,124,92.54
20,134,915SCL26,NE,50,50,100.00
20,135,91D060325,TB,100,100,100.00
20,136,91D200325,TB,1200,1200,100.00
20,137,91D240425,TB,100,100,100.00
20,138,91D280325,TB,200,200,100.00
20,139,91MOFSL27,N2,470,450,95.74
20,140,925ERFL28,N6,62,62,100.00
20,141,925IHFL25D,N6,300,300,100.00
20,142,925SCL25,N5,100,100,100.00
20,143,925SCL25C,AR,10,10,100.00
20,144,925SCL26W,N1,4,1,25.00
20,145,92GS2030,GS,690,690,100.00
20,146,92SFIL28,ND,11,11,100.00
20,147,930SFL28,YP,1115,1065,95.52
20,148,931SFL26,Z5,61,61,100.00
20,149,935LTF29,N5,6,6,100.00
20,150,935TSI34,N0,2,2,100.00
20,151,93MOFSL34,N6,101,101,100.00
20,152,943ECL28,NJ,10,10,100.00
20,153,945IFSL25,N4,10,10,100.00
20,154,948SCL26A,NN,1,1,100.00
20,155,94SFL28,YL,156,156,100.00
20,156,955SCL25,ZU,20,20,100.00
20,157,956AEL29,N6,60,60,100.00
20,158,960CAGL25,N3,10,10,100.00
20,159,965AEL27,N4,322,322,100.00
20,160,965SCL26F,N1,16,10,62.50
20,161,965SCL26Y,N1,10,10,100.00
20,162,96IIFL28,N5,81,81,100.00
20,163,96IIFL28A,NF,1601,1450,90.57
20,164,96SFIL24A,NB,50,50,100.00
20,165,970CAGL28,ND,205,205,100.00
20,166,971SCL28,AN,1,1,100.00
20,167,97MOFSL34,N7,195,120,61.54
20,168,97SFL29,YZ,18,18,100.00
20,169,985ECL28,NK,100,100,100.00
20,170,985IIFL22,NC,560,560,100.00
20,171,98SFIL26,NU,50,50,100.00
20,172,99AEL29,N7,76,72,94.74
20,173,9ICCL23A,N0,28,18,64.29
20,174,9IIFL28,Y0,225,225,100.00
20,175,9MMFSML,N2,48,48,100.00
20,176,9SCL26BA,NA,220,220,100.00
20,177,AAATECH,EQ,10203,7383,72.36
20,178,AADHARHFC,EQ,154067,75257,48.85
20,179,AAKASH,EQ,129195,67992,52.63
20,180,AAREYDRUGS,EQ,28381,20819,73.36
20,181,AARON,EQ,7731,2165,28.00
20,182,AARTIDRUGS,EQ,65731,33058,50.29
20,183,AARTIIND,EQ,1514067,530706,35.05
20,184,AARTIPHARM,EQ,407715,201260,49.36
20,185,AARTISURF,EQ,3658,2029,55.47
20,186,AARVI,EQ,10186,4791,47.04
20,187,AATMAJ,SM,6000,4000,66.67
20,188,AAVAS,EQ,91361,60070,65.75
20,189,ABAN,EQ,78824,54272,68.85
20,190,ABB,EQ,1337087,490452,36.68
20,191,ABBOTINDIA,EQ,9729,3446,35.42
20,192,ABCAPITAL,EQ,7057180,2478032,35.11
20,193,ABCOTS,ST,7500,5500,73.33
20,194,ABDL,EQ,251435,140075,55.71
20,195,ABFRL,EQ,1365443,381789,27.96
20,196,ABGSEC,EQ,25,20,80.00
20,197,ABHAPOWER,ST,9600,9600,100.00
20,198,ABINFRA,EQ,134837,21808,16.17
20,199,ABREL,EQ,292831,73662,25.16
20,200,ABSLAMC,EQ,390633,136272,34.88
20,201,ABSLBANETF,EQ,3086614,2679789,86.82
20,202,ABSLLIQUID,EQ,1261,1228,97.38
20,203,ABSLNN50ET,EQ,17842,14905,83.54
20,204,ABSLPSE,EQ,413031,239492,57.98
20,205,ABSMARINE,ST,29000,27000,93.10
20,206,ACC,EQ,356440,220974,61.99
20,207,ACCELYA,EQ,10463,5833,55.75
20,208,ACCENTMIC,SM,23500,14000,59.57
20,209,ACCURACY,EQ,131239,84910,64.70
20,210,ACE,EQ,131939,68649,52.03
20,211,ACEINTEG,EQ,2421,1424,58.82
20,212,ACI,EQ,247502,107841,43.57
20,213,ACL,EQ,23069,11796,51.13
20,214,ACLGATI,EQ,125466,61870,49.31
20,215,ACMESOLAR,EQ,733948,334159,45.53
20,216,ADANIENSOL,EQ,1007055,361821,35.93
20,217,ADANIENT,EQ,691187,190423,27.55
20,218,ADANIGREEN,EQ,1333100,320017,24.01
20,219,ADANIPORTS,EQ,4071098,1929311,47.39
20,220,ADANIPOWER,EQ,2822180,817329,28.96
20,221,ADFFOODS,EQ,33868,15904,46.96
20,222,ADL,EQ,126,87,69.05
20,223,ADORWELD,EQ,21291,15873,74.55
20,224,ADSL,EQ,1514631,370568,24.47
20,225,ADVANIHOTR,EQ,55497,27981,50.42
20,226,ADVENZYMES,EQ,241336,172859,71.63
20,227,AEGISLOG,EQ,9427424,767573,8.14
20,228,AEROFLEX,EQ,3442308,1124605,32.67
20,229,AERON,SM,29000,27000,93.10
20,230,AESTHETIK,SM,12000,10000,83.33
20,231,AETHER,EQ,16903,7967,47.13
20,232,AFCONS,EQ,4232317,2481301,58.63
20,233,AFFLE,EQ,230220,128383,55.77
20,234,AFFORDABLE,EQ,8761,6268,71.54
20,235,AFIL,EQ,132435,104442,78.86
20,236,AGARIND,EQ,20541,12861,62.61
20,237,AGARWALEYE,EQ,15635750,8152741,52.14
20,238,AGARWALFT,SM,7500,7500,100.00
20,239,AGARWALTUF,SM,34800,31200,89.66
20,240,AGI,EQ,294886,153874,52.18
20,241,AGIIL,EQ,39400,33067,83.93
20,242,AGNI,SM,15000,15000,100.00
20,243,AGRITECH,EQ,137095,20367,14.86
20,244,AGROPHOS,EQ,31043,8182,26.36
20,245,AGUL,SM,2000,2000,100.00
20,246,AHIMSA,ST,3000,3000,100.00
20,247,AHLADA,EQ,8942,5656,63.25
20,248,AHLEAST,EQ,8695,6129,70.49
20,249,AHLUCONT,EQ,73071,54005,73.91
20,250,AIAENG,EQ,9197,5443,59.18
20,251,AIIL,EQ,28045,11439,40.79
20,252,AIMTRON,SM,65200,56800,87.12
20,253,AIRAN,EQ,274042,75481,27.54
20,254,AIROLAM,EQ,8177,3102,37.94
20,255,AIRTELPP,E1,163643,117216,71.63
20,256,AISL,SM,28200,26400,93.62
20,257,AJANTPHARM,EQ,319750,103896,32.49
20,258,AJMERA,EQ,169634,46775,27.57
20,259,AJOONI,EQ,446022,310591,69.64
20,260,AKANKSHA,ST,22000,21000,95.45
20,261,AKASH,EQ,8347,4862,58.25
20,262,AKG,EQ,25054,17672,70.54
20,263,AKIKO,SM,35200,28800,81.82
20,264,AKSHARCHEM,EQ,4031,2586,64.15
20,265,AKUMS,EQ,102402,52404,51.17
20,266,AKZOINDIA,EQ,9817,2529,25.76
20,267,ALANKIT,EQ,238972,130505,54.61
20,268,ALBERTDAVD,EQ,1620,1187,73.27
20,269,ALEMBICLTD,EQ,290544,140026,48.19
20,270,ALICON,EQ,5268,2080,39.48
20,271,ALIVUS,EQ,73318,37964,51.78
20,272,ALKALI,EQ,6156,4444,72.19
20,273,ALKEM,EQ,186828,122996,65.83
20,274,ALKYLAMINE,EQ,52607,29645,56.35
20,275,ALLCARGO,EQ,1282245,714776,55.74
20,276,ALLDIGI,EQ,10124,5833,57.62
20,277,ALLETEC,ST,16400,15200,92.68
20,278,ALOKINDS,EQ,2925221,1265793,43.27
20,279,ALPA,EQ,20585,11017,53.52
20,280,ALPEXSOLAR,SM,22600,18800,83.19
20,281,ALPHA,EQ,1046530,667670,63.80
20,282,ALPHAETF,EQ,612458,273268,44.62
20,283,ALPHAGEO,EQ,11899,8398,70.58
20,284,ALPL30IETF,EQ,1134194,650423,57.35
20,285,ALUWIND,SM,28500,22500,78.95
20,286,AMBANIORGO,ST,1000,1000,100.00
20,287,AMBER,EQ,729485,164622,22.57
20,288,AMBEY,SM,10000,8000,80.00
20,289,AMBICAAGAR,EQ,30272,12258,40.49
20,290,AMBIKCO,EQ,4898,2516,51.37
20,291,AMBUJACEM,EQ,3229502,1543404,47.79
20,292,AMDIND,EQ,5708,3546,62.12
20,293,AMEYA,SM,2000,2000,100.00
20,294,AMIORG,EQ,511158,192257,37.61
20,295,AMJLAND,EQ,30434,18991,62.40
20,296,AMNPLST,EQ,12747,5100,40.01
20,297,AMRUTANJAN,EQ,25880,16507,63.78
20,298,ANANDRATHI,EQ,87745,54008,61.55
20,299,ANANTRAJ,EQ,1981898,882282,44.52
20,300,ANDHRAPAP,EQ,50276,29723,59.12
20,301,ANDHRSUGAR,EQ,209909,89491,42.63
20,302,ANGELONE,EQ,838489,144858,17.28
20,303,ANIKINDS,EQ,3698,3004,81.23
20,304,ANLON,SM,2800,2800,100.00
20,305,ANMOL,EQ,29189,17452,59.79
20,306,ANNAPURNA,SM,32750,21500,65.65
20,307,ANTGRAPHIC,EQ,219740,113724,51.75
20,308,ANUHPHR,EQ,15189,7344,48.35
20,309,ANUP,EQ,34140,17354,50.83
20,310,ANURAS,EQ,57404,22567,39.31
20,311,ANYA,SM,1060000,950000,89.62
20,312,APARINDS,EQ,220887,148693,67.32
20,313,APCL,EQ,2453,1189,48.47
20,314,APCOTEXIND,EQ,14089,7753,55.03
20,315,APEX,EQ,83469,36303,43.49
20,316,APEXECO,SM,76800,43200,56.25
20,317,APLAPOLLO,EQ,867528,550783,63.49
20,318,APLLTD,EQ,212293,116799,55.02
20,319,APOLLO,EQ,6495344,1980142,30.49
20,320,APOLLOHOSP,EQ,223642,122708,54.87
20,321,APOLLOPIPE,EQ,17385,10582,60.87
20,322,APOLLOTYRE,EQ,1065386,527316,49.50
20,323,APOLSINHOT,EQ,970,529,54.54
20,324,APRAMEYA,ST,8000,8000,100.00
20,325,APS,SM,84250,51000,60.53
