Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,26122025,1638978512,0003102
Trade Date <26-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,10,10,100.00
20,2,1003ISFL28,N4,312,312,100.00
20,3,1015ECL29,NR,237,237,100.00
20,4,1015UCL26,N1,3,3,100.00
20,5,1015UCL27,NF,1,1,100.00
20,6,1018GS2026,GS,2126,2126,100.00
20,7,1025PATE28,N0,3,3,100.00
20,8,1025SCL34,Z8,75,75,100.00
20,9,1025SCL35A,N1,1,1,100.00
20,10,1025UCL26A,N1,100,100,100.00
20,11,1035UCL26,NA,33,33,100.00
20,12,1040UCL27B,N1,5,5,100.00
20,13,1050ISFL28,N5,27,27,100.00
20,14,1050NFL26,N7,669,490,73.24
20,15,1050SCL31T,N1,200,200,100.00
20,16,105UCL2026,NB,1,1,100.00
20,17,1060ECL29,NS,434,434,100.00
20,18,1075WCAP28,N0,2,1,50.00
20,19,10IIFL28,N4,779,779,100.00
20,20,10IIFL28A,NE,2039,2039,100.00
20,21,10ISFL26,N3,50,50,100.00
20,22,10NIDO26,N6,5,5,100.00
20,23,115VCCL28,N0,32,32,100.00
20,24,12AFIL27,N0,15,15,100.00
20,25,12AFIL27A,N0,3,3,100.00
20,26,12AFIL28,N0,72,69,95.83
20,27,182D010126,TB,100,100,100.00
20,28,182D040626,TB,100,100,100.00
20,29,182D220126,TB,1000,1000,100.00
20,30,182D280526,TB,2100,2100,100.00
20,31,20MICRONS,EQ,10772476,993293,9.22
20,32,21STCENMGM,EQ,883,883,100.00
20,33,360ONE,EQ,223587,81618,36.50
20,34,364D031226,TB,100,100,100.00
20,35,364D130826,TB,100,100,100.00
20,36,364D171226,TB,400,200,50.00
20,37,364D261126,TB,100,100,100.00
20,38,364D280526,TB,10000,10000,100.00
20,39,3IINFOLTD,EQ,262055,211740,80.80
20,40,3MINDIA,EQ,1658,714,43.06
20,41,3PLAND,EQ,2604,2077,79.76
20,42,563GS2026,GS,142,142,100.00
20,43,574GS2026,GS,1868,1868,100.00
20,44,577GS2030,GS,2,2,100.00
20,45,5PAISA,EQ,141480,41419,29.28
20,46,601GS2030,GS,300,200,66.67
20,47,622GS2035,GS,200,200,100.00
20,48,628GS2032,GS,600,600,100.00
20,49,633GS2035,GS,15024,15024,100.00
20,50,63MOONS,EQ,110105,44158,40.11
20,51,648GS2035,GS,20,20,100.00
20,52,664GS2035,GS,6,6,100.00
20,53,667GS2050,GS,88333,88333,100.00
20,54,668GS2040,GS,101,100,99.01
20,55,675GS2029,GS,1000,1000,100.00
20,56,676GS2061,GS,5356,5356,100.00
20,57,679GS2031,GS,20,20,100.00
20,58,679GS2034,GS,2400,2400,100.00
20,59,68GS2060,GS,820,820,100.00
20,60,690GS2065,GS,84725,75725,89.38
20,61,695GS2061,GS,25846,25844,99.99
20,62,698GR2054,GS,200,200,100.00
20,63,699GS2051,GS,26700,26700,100.00
20,64,702GS2027,GS,4127,4126,99.98
20,65,702GS2031,GS,990,990,100.00
20,66,704GS2029,GS,18624,18512,99.40
20,67,706GS2028,GS,20400,19400,95.10
20,68,709GS2054,GS,601,601,100.00
20,69,709GS2074,GS,61040,59028,96.70
20,70,710GS2029,GS,9000,9000,100.00
20,71,717GS2030,GS,17500,17500,100.00
20,72,718GS2033,GS,9101,9100,99.99
20,73,718GS2037,GS,52517,52517,100.00
20,74,719GS2060,GS,1886,1886,100.00
20,75,71GS2034,GS,100,100,100.00
20,76,724GS2055,GS,26101,25300,96.93
20,77,725GS2063,GS,167250,167200,99.97
20,78,726GS2032,GS,1000,500,50.00
20,79,727GS2026,GS,1000,1000,100.00
20,80,728IRFC30,NG,8712,4856,55.74
20,81,729IRFC26,NN,199,199,100.00
20,82,729NHAI26,NC,295,195,66.10
20,83,734GS2064,GS,33844,33819,99.93
20,84,734IRFC28,N4,2000,2000,100.00
20,85,735NHAI31,N9,6906,4006,58.01
20,86,736GS2052,GS,1800,1800,100.00
20,87,737GS2028,GS,300,300,100.00
20,88,738GS2027,GS,87753,73548,83.81
20,89,738REC27TF,N2,4,4,100.00
20,90,73GS2053,GS,3603,3603,100.00
20,91,741GS2036,GS,17900,17900,100.00
20,92,743REC35,NH,239,239,100.00
20,93,746GS2073,GS,5100,5100,100.00
20,94,74GS2062,GS,2,2,100.00
20,95,751HUDCO28,N5,2300,2300,100.00
20,96,753IRFC30,NJ,717,712,99.30
20,97,753NTPC30E,NC,349,349,100.00
20,98,754GS2036,GS,380314,379413,99.76
20,99,759TS37,SG,1000,1000,100.00
20,100,760PFCL35,N3,46,46,100.00
20,101,762GA32A,SG,100,100,100.00
20,102,762NTPC35F,ND,153,153,100.00
20,103,764HUDCO31,N8,1,1,100.00
20,104,764IRFC31,NO,1009,1000,99.11
20,105,769HUDCO31,N9,201,201,100.00
20,106,769NHAI31,NE,558,533,95.52
20,107,76NHAI31,NA,1000,1000,100.00
20,108,772GS2055,GS,45,45,100.00
20,109,774IREDA31,N7,590,563,95.42
20,110,797IGT31,NL,50,50,100.00
20,111,79NHIT35,N1,3625,3625,100.00
20,112,79NHIT40,N2,196,196,100.00
20,113,810IRFC27,N2,266,213,80.08
20,114,81ABCL33,N4,84,84,100.00
20,115,81TCHF28,N8,2,2,100.00
20,116,820IIFL27,N9,585,585,100.00
20,117,824GS2027,GS,8,8,100.00
20,118,829PFL29,N6,35,35,100.00
20,119,82HUDCO27,N2,1046,1046,100.00
20,120,830NHAI27,N2,1632,971,59.50
20,121,830PFCL27,N5,2042,2042,100.00
20,122,832GS2032,GS,2,2,100.00
20,123,840IRFC29,N8,2,2,100.00
20,124,842IIFL26,NL,274,274,100.00
20,125,843IHFL29,NC,76,76,100.00
20,126,850NHAI29,N5,1,1,100.00
20,127,851HUDCO28,NB,804,524,65.17
20,128,860CIFCL28,NG,6,6,100.00
20,129,862REC33,NA,201,201,100.00
20,130,865IFL28,NZ,500,500,100.00
20,131,865IIFL28,NS,110,110,100.00
20,132,865IRFC29,NA,73,73,100.00
20,133,865LTF26,NN,272,272,100.00
20,134,865SCL27,N4,15,15,100.00
20,135,871REC28,N9,1628,1625,99.82
20,136,873NTPC28,N5,258,0,0.00
20,137,875IIFL26,NM,10,10,100.00
20,138,875IIFL26A,NQ,550,550,100.00
20,139,875NHAI29,N6,50,50,100.00
20,140,875SFL27,ZF,1,1,100.00
20,141,876HUDCO28,ND,205,205,100.00
20,142,87LTF27,NH,50,50,100.00
20,143,883GS2041,GS,263,263,100.00
20,144,888ECL28,N1,100,100,100.00
20,145,888IRFC29,NE,410,400,97.56
20,146,888REC29,NF,1,1,100.00
20,147,891IIFCL34,N4,10,10,100.00
20,148,891NTPC33,N6,936,580,61.97
20,149,892NHPC33,N6,211,211,100.00
20,150,892PFCL33,N8,659,659,100.00
20,151,898LTF29,N7,4441,3057,68.84
20,152,901HUDCO34,NE,648,528,81.48
20,153,901NHB34,N6,222,222,100.00
20,154,910TCAP28,NA,140,140,100.00
20,155,915AEL28,NC,10,10,100.00
20,156,915APSBC31,N0,8,8,100.00
20,157,915APSBC33,N0,10,10,100.00
20,158,915SCL26,NE,103,103,100.00
20,159,91D060226,TB,100,100,100.00
20,160,91D120226,TB,500,300,60.00
20,161,91D150126,TB,1000,1000,100.00
20,162,91D190326,TB,500,300,60.00
20,163,91D290126,TB,100,100,100.00
20,164,91MOFSL27,N2,50,50,100.00
20,165,920IIFLS26,N8,20,20,100.00
20,166,92GS2030,GS,944,895,94.81
20,167,930AEL30,NF,40,20,50.00
20,168,930APMD30,N0,2,2,100.00
20,169,931SFL26,Z5,548,548,100.00
20,170,932AEL27,N3,48,24,50.00
20,171,935TSI29,N0,4,4,100.00
20,172,935TSI34,N0,3,3,100.00
20,173,93MOFSL34,N6,245,245,100.00
20,174,943ECL28,NJ,136,135,99.26
20,175,945SCL32,NL,5,5,100.00
20,176,948SCL26D,AI,100,100,100.00
20,177,950ISF27C,N0,13,13,100.00
20,178,956AEL29,N6,300,300,100.00
20,179,957IIFLS27,NA,40,40,100.00
20,180,957ISFL26,N2,1,1,100.00
20,181,957NIDO26,N5,67,67,100.00
20,182,957SFIL28,NW,25,25,100.00
20,183,965AEL27,N4,2250,2250,100.00
20,184,965SCL25C,N0,1,1,100.00
20,185,965SCL25F,NZ,10,10,100.00
20,186,965SCL26Y,N1,18,10,55.56
20,187,96IIFL28,N5,2682,2309,86.09
20,188,96IIFL28A,NF,1782,1282,71.94
20,189,970CAGL28,ND,1,1,100.00
20,190,971SCL30A,N1,250,100,40.00
20,191,975ISF28,N0,3,3,100.00
20,192,97MOFSL34,N7,828,828,100.00
20,193,97SFL26,Z9,3,3,100.00
20,194,97SFL28,YS,45,25,55.56
20,195,985ECL28,NK,10,10,100.00
20,196,990SCL28,N1,10,10,100.00
20,197,995SCL2035,NM,20,20,100.00
20,198,99AEL29,N7,150,150,100.00
20,199,9IHFL27,N1,1,1,100.00
20,200,9IIFL28,Y0,413,413,100.00
20,201,9MMFSML,N2,280,280,100.00
20,202,9SCL27,N2,10,10,100.00
20,203,A2ZINFRA,EQ,328416,240311,73.17
20,204,AADHARHFC,EQ,320188,183459,57.30
20,205,AAKAAR,SM,14400,11200,77.78
20,206,AAKASH,EQ,60706,41179,67.83
20,207,AARADHYA,ST,8400,7200,85.71
20,208,AAREYDRUGS,EQ,73609,34576,46.97
20,209,AARON,EQ,12846,8724,67.91
20,210,AARTECH,EQ,61113,34542,56.52
20,211,AARTIDRUGS,EQ,159084,78502,49.35
20,212,AARTIIND,EQ,283089,112874,39.87
20,213,AARTIPHARM,EQ,84197,40060,47.58
20,214,AARTISURF,EQ,7549,5504,72.91
20,215,AARVI,EQ,13149,5150,39.17
20,216,AATMAJ,SM,6000,6000,100.00
20,217,AAVAS,EQ,99353,50592,50.92
20,218,ABB,EQ,54254,23659,43.61
20,219,ABBOTINDIA,EQ,3858,1812,46.97
20,220,ABCAPITAL,EQ,3234018,1496329,46.27
20,221,ABCOTS,EQ,10057,4179,41.55
20,222,ABDL,EQ,220353,116583,52.91
20,223,ABFRL,EQ,7370156,6549107,88.86
20,224,ABGSEC,EQ,506,256,50.59
20,225,ABHAPOWER,SM,16000,12800,80.00
20,226,ABINFRA,EQ,140344,93881,66.89
