Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29122025,2154732135,0003132
Trade Date <29-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,100,100,100.00
20,2,1003IIFL29,NC,30,15,50.00
20,3,1003ISFL28,N4,210,210,100.00
20,4,1015ECL29,NR,516,516,100.00
20,5,1015UCL27,NF,17,17,100.00
20,6,1018GS2026,GS,1466,1422,97.00
20,7,1025IIFL30,Y3,50,50,100.00
20,8,1025SCL34A,ZT,100,100,100.00
20,9,1025SCL35A,N1,1,1,100.00
20,10,1025UCL26A,N1,49,49,100.00
20,11,1025VCCL28,N0,1,1,100.00
20,12,1030SFIL28,NM,75,75,100.00
20,13,1035UCL26,NA,10,10,100.00
20,14,1040UCL27B,N1,2,2,100.00
20,15,1050ISFL28,N5,330,330,100.00
20,16,1050NFL26,N7,247,247,100.00
20,17,1050UCL28,NH,115,115,100.00
20,18,105IIFL29,N7,215,215,100.00
20,19,105UCL2026,NB,53,53,100.00
20,20,1060ECL29,NS,497,497,100.00
20,21,1065NFL27,NC,78,78,100.00
20,22,10CAGL27,N5,7,7,100.00
20,23,10IIFL28,N4,60,60,100.00
20,24,10IIFL28A,NE,38,38,100.00
20,25,10IIFL29,N6,40,40,100.00
20,26,10NIDO26,N6,26,26,100.00
20,27,115VCCL28,N0,26,26,100.00
20,28,118VCCL27,N0,1,1,100.00
20,29,11UCL26,NC,111,111,100.00
20,30,12AFIL27,N0,3,3,100.00
20,31,12AFIL27A,N0,16,16,100.00
20,32,12AFIL28,N0,1,1,100.00
20,33,12VCCL27A,N0,1,1,100.00
20,34,182D010126,TB,200,200,100.00
20,35,182D040626,TB,100,100,100.00
20,36,20MICRONS,EQ,1246535,234477,18.81
20,37,21STCENMGM,EQ,14714,12692,86.26
20,38,360ONE,EQ,223221,120831,54.13
20,39,364D031226,TB,100,100,100.00
20,40,364D060826,TB,200,100,50.00
20,41,364D190326,TB,200,100,50.00
20,42,364D251226,TB,100,100,100.00
20,43,364D300726,TB,100,100,100.00
20,44,3IINFOLTD,EQ,457505,354513,77.49
20,45,3MINDIA,EQ,1335,538,40.30
20,46,3PLAND,EQ,6519,3984,61.11
20,47,574GS2026,GS,700,700,100.00
20,48,577GS2030,GS,10,10,100.00
20,49,585GS2030,GS,100,100,100.00
20,50,5PAISA,EQ,54266,22138,40.80
20,51,619GS2034,GS,10,10,100.00
20,52,622GS2035,GS,201,201,100.00
20,53,633GS2035,GS,5088,4988,98.03
20,54,63MOONS,EQ,59240,25498,43.04
20,55,648GS2035,GS,201,201,100.00
20,56,654GS2032,GS,4,4,100.00
20,57,664GS2027,GS,300,300,100.00
20,58,667GS2035,GS,11,10,90.91
20,59,668GS2040,GS,4106,4006,97.56
20,60,676GS2061,GS,12,12,100.00
20,61,679GS2034,GS,100,100,100.00
20,62,68GS2060,GS,2918,2918,100.00
20,63,690GS2065,GS,3694,2441,66.08
20,64,692GS2039,GS,500,500,100.00
20,65,695GS2061,GS,24700,24700,100.00
20,66,697GR2034,GS,287,287,100.00
20,67,698GR2054,GS,352,352,100.00
20,68,699GS2026,GS,1000,1000,100.00
20,69,699GS2051,GS,1171,1171,100.00
20,70,702GS2027,GS,18502,18403,99.46
20,71,702GS2031,GS,12651,12151,96.05
20,72,706GS2046,GS,99,50,50.51
20,73,709GS2054,GS,21350,21350,100.00
20,74,709GS2074,GS,85791,56145,65.44
20,75,710GS2029,GS,12202,11202,91.80
20,76,716GS2050,GS,161,161,100.00
20,77,717GS2030,GS,4500,4500,100.00
20,78,718GS2033,GS,100,100,100.00
20,79,718GS2037,GS,17472,15971,91.41
20,80,719GS2060,GS,3446,3446,100.00
20,81,71GS2034,GS,760,760,100.00
20,82,723GS2039,GS,10,10,100.00
20,83,724GS2055,GS,29967,25044,83.57
20,84,725GS2063,GS,142554,97885,68.67
20,85,728IRFC30,NG,10,10,100.00
20,86,729IRFC26,NN,164,164,100.00
20,87,729NHAI26,NC,440,340,77.27
20,88,732GS2030,GS,30,30,100.00
20,89,733GS2026,GS,200,200,100.00
20,90,734GS2064,GS,63263,43463,68.70
20,91,735NHAI31,N9,30,30,100.00
20,92,736GS2052,GS,5035,4053,80.50
20,93,737GS2028,GS,1200,1200,100.00
20,94,738GS2027,GS,74310,62551,84.18
20,95,738REC27TF,N2,5,5,100.00
20,96,739NHAI31A,ND,20,20,100.00
20,97,73GS2053,GS,17108,17108,100.00
20,98,741GS2036,GS,30335,30335,100.00
20,99,746GS2073,GS,8728,8217,94.15
20,100,746TS48,SG,2100,2100,100.00
20,101,74GS2062,GS,2001,2001,100.00
20,102,753IRFC30,NJ,807,807,100.00
20,103,753NTPC30E,NC,6,6,100.00
20,104,754GS2036,GS,624577,516794,82.74
20,105,758GJ26,SG,100,100,100.00
20,106,759GS2026,GS,2,1,50.00
20,107,762GS2039,GS,100,50,50.00
20,108,762NTPC35F,ND,168,168,100.00
20,109,764HUDCO31,N8,1101,1071,97.28
20,110,764IRFC31,NO,1396,1387,99.36
20,111,764NABAR31,N2,2,2,100.00
20,112,769GS2043,GS,1135,1130,99.56
20,113,769HUDCO31,N9,200,200,100.00
20,114,769IGT28,NH,100,50,50.00
20,115,769NHAI31,NE,284,282,99.30
20,116,76NHAI31,NA,589,580,98.47
20,117,772HR33,SG,200,200,100.00
20,118,774IREDA31,N7,21,21,100.00
20,119,797IGT31,NL,955,955,100.00
20,120,79NHIT35,N1,335,335,100.00
20,121,79NHIT40,N2,541,531,98.15
20,122,79NHIT47,N3,385,384,99.74
20,123,810IRFC27,N2,1314,1314,100.00
20,124,812REC27,NI,150,150,100.00
20,125,813GS2045,GS,3800,3800,100.00
20,126,828GS2027,GS,102,102,100.00
20,127,82HUDCO27,N2,2564,2564,100.00
20,128,82IGT31,NJ,1008,999,99.11
20,129,830CIFC26,N2,100,100,100.00
20,130,830NHAI27,N2,2042,2042,100.00
20,131,830PFCL27,N5,2970,2970,100.00
20,132,842IIFL26,NL,2261,2060,91.11
20,133,843IHFL29,NC,6,3,50.00
20,134,84TCHF28,NA,436,435,99.77
20,135,862REC33,NA,500,500,100.00
20,136,865IFL28,NZ,10,10,100.00
20,137,865IHFL27,N1,50,50,100.00
20,138,865IIFL28,NS,1968,1740,88.41
20,139,865IRFC29,NA,1,1,100.00
20,140,865LTF26,NN,296,296,100.00
20,141,865SCL26,N8,69,69,100.00
20,142,865SCL27,N4,20,10,50.00
20,143,866NTPC33,N3,236,236,100.00
20,144,867NHPC33,N3,10,10,100.00
20,145,871REC28,N9,500,500,100.00
20,146,873NTPC28,N5,171,171,100.00
20,147,875IHFL29,ND,27,27,100.00
20,148,875NHAI29,N6,310,310,100.00
20,149,876HUDCO28,ND,615,555,90.24
20,150,87LTF27,NH,5,5,100.00
20,151,880IREDA34,N6,33,33,100.00
20,152,883GS2041,GS,1825,1825,100.00
20,153,885SCL26,N9,200,200,100.00
20,154,888ECL28,N1,28,28,100.00
20,155,888IRFC29,NE,18,18,100.00
20,156,888REC29,NF,10,10,100.00
20,157,888SCL28,NA,3,3,100.00
20,158,889SCL26,NS,287,152,52.96
20,159,891IIFCL34,N4,10,10,100.00
20,160,891NTPC33,N6,1438,1419,98.68
20,161,892PFCL33,N8,350,340,97.14
20,162,893NHB29,N6,125,116,92.80
20,163,895AEL27,N9,50,50,100.00
20,164,897GS2030,GS,1,1,100.00
