Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,13052025,1587565502,0002744
Trade Date <13-MAY-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,15,15,100.00
20,2,1003IIFL29,NC,28,0,0.00
20,3,1003ISFL28,N4,40,40,100.00
20,4,1003SFIL28,NX,20,20,100.00
20,5,1015ECL29,NR,484,483,99.79
20,6,1015SCL29T,N1,140,140,100.00
20,7,1018GS2026,GS,35040,34573,98.67
20,8,1025UCL26A,N1,150,100,66.67
20,9,1030SFIL28,NM,1,1,100.00
20,10,1035UCL26,NA,25,25,100.00
20,11,1050IIFL29,ND,10,10,100.00
20,12,1050UCL25,N7,17,17,100.00
20,13,1050UCL28,NH,913,913,100.00
20,14,105IIFL29,N7,300,300,100.00
20,15,105UCL2026,NB,3,3,100.00
20,16,1065NFL27,NC,15,15,100.00
20,17,1075NFL25,N6,300,300,100.00
20,18,1075SCL34,ZR,11,11,100.00
20,19,1075UCL25,N9,102,102,100.00
20,20,10IIFL28,N4,21,21,100.00
20,21,10IIFL28A,NE,533,533,100.00
20,22,10IIFL29,N6,303,303,100.00
20,23,10NFL25,N9,108,108,100.00
20,24,10NIDO26,N6,220,220,100.00
20,25,10UCL26,ND,10,10,100.00
20,26,12VCCL29B,N0,1,1,100.00
20,27,182D040925,TB,200,200,100.00
20,28,182D070825,TB,1000,1000,100.00
20,29,182D100725,TB,100,100,100.00
20,30,182D101025,TB,300,300,100.00
20,31,182D120625,TB,2000,1000,50.00
20,32,182D170725,TB,1000,1000,100.00
20,33,182D290825,TB,100,100,100.00
20,34,20MICRONS,EQ,92233,51938,56.31
20,35,21STCENMGM,EQ,5214,3308,63.44
20,36,360ONE,EQ,552909,291207,52.67
20,37,364D010126,TB,300,300,100.00
20,38,364D030725,TB,500,500,100.00
20,39,364D040925,TB,100,100,100.00
20,40,364D100426,TB,100,100,100.00
20,41,364D120625,TB,2600,2600,100.00
20,42,364D200226,TB,1300,1300,100.00
20,43,364D230525,TB,1400,1400,100.00
20,44,364D260625,TB,1000,1000,100.00
20,45,364D270226,TB,200,100,50.00
20,46,364D280825,TB,500,500,100.00
20,47,3IINFOLTD,EQ,446766,241991,54.17
20,48,3MINDIA,EQ,4889,2709,55.41
20,49,3PLAND,EQ,6387,3286,51.45
20,50,522GS2025,GS,2,1,50.00
20,51,563GS2026,GS,1,1,100.00
20,52,574GS2026,GS,1,1,100.00
20,53,577GS2030,GS,13,13,100.00
20,54,5PAISA,EQ,28741,15161,52.75
20,55,619GS2034,GS,1,1,100.00
20,56,63MOONS,EQ,363649,137763,37.88
20,57,654GS2032,GS,101,101,100.00
20,58,667GS2035,GS,3,3,100.00
20,59,667GS2050,GS,111,111,100.00
20,60,675GS2029,GS,3,0,0.00
20,61,676GS2061,GS,1,1,100.00
20,62,679GS2034,GS,300,300,100.00
20,63,679GS2034A,GS,100,100,100.00
20,64,68GS2060,GS,12,11,91.67
20,65,699GS2051,GS,2529,2529,100.00
20,66,702GS2027,GS,200,200,100.00
20,67,704GS2029,GS,5500,5500,100.00
20,68,706GS2028,GS,7800,7800,100.00
20,69,707IRFC25,NF,7144,6550,91.69
20,70,709GS2054,GS,600,600,100.00
20,71,709GS2074,GS,201000,201000,100.00
20,72,709TN35,SG,100,100,100.00
20,73,710GS2029,GS,4502,4502,100.00
20,74,714NHAI26,N7,100,100,100.00
20,75,717GS2030,GS,10182,10181,99.99
20,76,718GS2033,GS,49771,49671,99.80
20,77,718GS2037,GS,40201,40201,100.00
20,78,719GS2060,GS,88,88,100.00
20,79,71GS2034,GS,2085,2085,100.00
20,80,725GS2063,GS,7850,6644,84.64
20,81,726GS2029,GS,5,5,100.00
20,82,726GS2033,GS,220900,220900,100.00
20,83,729IRFC26,NN,389,389,100.00
20,84,729NHAI26,NC,49,31,63.27
20,85,732IRFC25,NI,306,306,100.00
20,86,733GS2026,GS,22803,22803,100.00
20,87,734GS2064,GS,830,830,100.00
20,88,736PFCL28,N2,35,35,100.00
20,89,737NTPC35C,NA,90,90,100.00
20,90,738GS2027,GS,56208,54198,96.42
20,91,738REC27TF,N2,20,10,50.00
20,92,739NHAI26,N8,45,45,100.00
20,93,73GS2053,GS,6922,5922,85.55
20,94,740IIFCL33,N1,50,50,100.00
20,95,741GS2036,GS,3805,3805,100.00
20,96,746GS2073,GS,1120,1120,100.00
20,97,74AP43,SG,5000,5000,100.00
20,98,74GS2062,GS,1,1,100.00
20,99,750IRFC35,NK,600,600,100.00
20,100,753IRFC30,NJ,979,879,89.79
20,101,753NTPC30E,NC,47,47,100.00
20,102,754GS2036,GS,682893,669218,98.00
20,103,764HUDCO31,N8,52,52,100.00
20,104,764IRFC31,NO,413,357,86.44
20,105,764NABAR31,N2,278,278,100.00
20,106,769GS2043,GS,10,5,50.00
20,107,769HUDCO31,N9,238,238,100.00
20,108,769NHAI31,NE,116,51,43.97
20,109,76NHAI31,NA,1342,875,65.20
20,110,772GS2049,GS,3,1,33.33
20,111,772GS2055,GS,7,6,85.71
20,112,774IREDA31,N7,409,409,100.00
20,113,78ABCL33,N1,2,2,100.00
20,114,79NHIT35,N1,1721,1720,99.94
20,115,79NHIT40,N2,3,1,33.33
20,116,79NHIT47,N3,4,2,50.00
20,117,810IRFC27,N2,824,811,98.42
20,118,812REC27,NI,100,100,100.00
20,119,81TCHF28,N8,77,77,100.00
20,120,82HUDCO27,N2,500,500,100.00
20,121,82IGT31,NJ,1350,1350,100.00
20,122,830NHAI27,N2,585,526,89.91
20,123,830PFCL27,N5,196,196,100.00
20,124,833GS2026,GS,215,215,100.00
20,125,835IFL25,NV,1,1,100.00
20,126,83GS2040,GS,2,0,0.00
20,127,842IIFL26,NL,1326,1230,92.76
20,128,846REC28,N6,4010,2010,50.12
20,129,84TCHF28,NA,14,14,100.00
20,130,860CIFCL28,NG,15,15,100.00
20,131,865IFL28,NZ,10,10,100.00
20,132,865IIFL28,NS,748,598,79.95
20,133,865IRFC29,NA,285,285,100.00
20,134,865LTF26,NN,110,100,90.91
20,135,865NHB34,N4,18,18,100.00
20,136,865TCAPS27,N8,58,31,53.45
20,137,871REC28,N9,700,600,85.71
20,138,875IIFL26A,NQ,2,2,100.00
20,139,875NHAI29,N6,412,400,97.09
20,140,875PCHFL26,N8,99,99,100.00
20,141,879NHPC28,N5,70,70,100.00
20,142,885MOFSL26,N0,50,50,100.00
20,143,885TCAPS29,NC,112,111,99.11
20,144,886REC34,NG,53,53,100.00
20,145,888ERFL28,N5,97,97,100.00
20,146,888IRFC29,NE,205,205,100.00
20,147,888REC29,NF,200,200,100.00
20,148,890NHB34,N7,50,50,100.00
20,149,891NTPC33,N6,1270,1002,78.90
20,150,892NHPC33,N6,31,31,100.00
20,151,893NHB29,N6,115,115,100.00
20,152,897MOFSL29,N4,70,70,100.00
20,153,901HUDCO34,NE,877,870,99.20
20,154,901NHB34,N6,216,207,95.83
20,155,910TCAP28,NA,835,730,87.43
20,156,915SCL26,NE,337,337,100.00
20,157,91D050625,TB,2800,2800,100.00
20,158,91D110725,TB,8300,5100,61.45
20,159,91D120625,TB,200,100,50.00
20,160,91D190625,TB,100,100,100.00
20,161,91D240725,TB,2600,2600,100.00
20,162,91MOFSL27,N2,5,5,100.00
20,163,91SFL27,ZI,43,43,100.00
20,164,925AEL26,N1,50,50,100.00
20,165,925CAGL26,N9,20,20,100.00
20,166,925IHFL25D,N6,25,25,100.00
20,167,92GS2030,GS,502,502,100.00
20,168,935LTF29,N5,100,100,100.00
20,169,935MOFSL29,N5,200,200,100.00
20,170,935PEL33,N3,160,80,50.00
20,171,935TSI34,N0,9,9,100.00
20,172,93MOFSL34,N6,10,10,100.00
20,173,943ECL28,NJ,96,96,100.00
20,174,948SCL26A,NN,30,30,100.00
20,175,957ICCL25,YW,40,40,100.00
20,176,957NIDO26,N5,114,114,100.00
20,177,965AEL27,N4,155,95,61.29
20,178,965IHFL25D,N7,185,185,100.00
20,179,965SCL25C,N0,22,22,100.00
20,180,965SCL28,AK,2,1,50.00
20,181,966SFIL25A,NI,4,2,50.00
20,182,96IIFL28,N5,430,430,100.00
20,183,96IIFL28A,NF,2175,1925,88.51
20,184,970CAGL28,ND,449,449,100.00
20,185,971SCL29,Z0,147,147,100.00
20,186,975SCL28,NT,40,40,100.00
20,187,97SFL29,YZ,100,50,50.00
20,188,985ECL28,NK,150,150,100.00
20,189,985IIFL22,NC,12,12,100.00
20,190,990SCL26B,Y7,5,5,100.00
20,191,990SCL26D,AH,2,2,100.00
20,192,99AEL29,N7,19,10,52.63
20,193,9IIFL28A,NT,17,17,100.00
20,194,9SCL26BA,NA,1145,1145,100.00
20,195,A2ZINFRA,EQ,183319,118183,64.47
20,196,AAATECH,EQ,21608,13960,64.61
20,197,AADHARHFC,EQ,713763,383691,53.76
20,198,AAKASH,EQ,60165,49793,82.76
20,199,AAREYDRUGS,EQ,34074,16795,49.29
20,200,AARON,EQ,2159,1324,61.32
20,201,AARTECH,EQ,35499,22204,62.55
20,202,AARTIDRUGS,EQ,1861861,467492,25.11
20,203,AARTIIND,EQ,1879645,823560,43.81
20,204,AARTIPHARM,EQ,578540,248380,42.93
20,205,AARTISURF,EQ,10346,10346,100.00
20,206,AARTISURF,P1,116,116,100.00
20,207,AARVI,EQ,4060,2318,57.09
20,208,AAVAS,EQ,144193,73543,51.00
20,209,ABB,EQ,638165,383589,60.11
20,210,ABBOTINDIA,EQ,6003,2553,42.53
20,211,ABCAPITAL,EQ,5571107,1741609,31.26
20,212,ABCOTS,SM,3500,2750,78.57
20,213,ABDL,EQ,2036902,1277675,62.73
20,214,ABFRL,EQ,3136235,1264336,40.31
20,215,ABHAPOWER,ST,6400,6400,100.00
20,216,ABINFRA,EQ,137132,48585,35.43
20,217,ABMINTLLTD,EQ,6431,2094,32.56
20,218,ABREL,EQ,46488,19638,42.24
20,219,ABSLAMC,EQ,266433,141242,53.01
20,220,ABSLBANETF,EQ,23579,12845,54.48
20,221,ABSLLIQUID,EQ,1606,1449,90.22
20,222,ABSLNN50ET,EQ,7401,6300,85.12
20,223,ABSLPSE,EQ,259331,122849,47.37
20,224,ABSMARINE,ST,13000,12500,96.15
20,225,ACC,EQ,643544,437802,68.03
20,226,ACCELYA,EQ,9898,4368,44.13
20,227,ACCENTMIC,SM,20000,12500,62.50
20,228,ACCORD,SM,2000,2000,100.00
20,229,ACCURACY,EQ,205313,144351,70.31
20,230,ACE,EQ,314217,171414,54.55
20,231,ACEINTEG,EQ,3624,2879,79.44
20,232,ACI,EQ,384924,165560,43.01
20,233,ACL,EQ,24355,14218,58.38
20,234,ACLGATI,EQ,432950,192622,44.49
20,235,ACMESOLAR,EQ,466849,213149,45.66
20,236,ACTIVEINFR,SM,1800,1800,100.00
20,237,ADANIENSOL,EQ,2246532,643039,28.62
20,238,ADANIENT,EQ,1815179,561488,30.93
20,239,ADANIGREEN,EQ,4260617,1359614,31.91
20,240,ADANIPORTS,EQ,3356599,1246206,37.13
20,241,ADANIPOWER,EQ,5557722,2134926,38.41
20,242,ADFFOODS,EQ,72714,34811,47.87
20,243,ADL,EQ,3030,1619,53.43
20,244,ADOR,EQ,17881,12958,72.47
20,245,ADROITINFO,EQ,67468,55987,82.98
20,246,ADSL,EQ,126513,51302,40.55
20,247,ADVANIHOTR,EQ,107368,43840,40.83
20,248,ADVENZYMES,EQ,603995,205940,34.10
20,249,AEGISLOG,EQ,490264,180252,36.77
20,250,AEROFLEX,EQ,1050488,476954,45.40
20,251,AERON,SM,24000,14000,58.33
20,252,AESTHETIK,SM,22000,14000,63.64
20,253,AETHER,EQ,1046079,341336,32.63
20,254,AFCONS,EQ,3901258,1638142,41.99
20,255,AFFLE,EQ,160378,85587,53.37
20,256,AFFORDABLE,EQ,60340,32618,54.06
20,257,AFIL,EQ,2255915,1190927,52.79
20,258,AFSL,EQ,47224,33694,71.35
20,259,AGARIND,EQ,5535,2275,41.10
20,260,AGARWALEYE,EQ,158062,76691,48.52
20,261,AGARWALFT,ST,1500,1500,100.00
20,262,AGARWALTUF,SM,208800,114000,54.60
20,263,AGI,EQ,183898,80962,44.03
20,264,AGIIL,EQ,62633,31588,50.43
20,265,AGNI,ST,15000,15000,100.00
20,266,AGRITECH,EQ,19027,8574,45.06
20,267,AGROPHOS,EQ,27033,11639,43.05
20,268,AHLADA,EQ,19550,9961,50.95
20,269,AHLEAST,EQ,1259,879,69.82
20,270,AHLUCONT,EQ,47997,24848,51.77
20,271,AIAENG,EQ,18864,10605,56.22
20,272,AIIL,EQ,502982,290781,57.81
20,273,AIMTRON,SM,39600,20800,52.53
20,274,AIRAN,EQ,117073,63128,53.92
20,275,AIROLAM,EQ,3115,1866,59.90
20,276,AIRTELPP,E1,184358,88936,48.24
20,277,AISL,SM,4200,3600,85.71
20,278,AJANTPHARM,EQ,112808,52654,46.68
20,279,AJAXENGG,EQ,514436,247866,48.18
20,280,AJMERA,EQ,39593,18405,46.49
20,281,AJOONI,EQ,640148,379830,59.33
20,282,AKANKSHA,SM,44000,32000,72.73
20,283,AKASH,EQ,6125,5258,85.84
20,284,AKG,EQ,14055,10143,72.17
20,285,AKIKO,SM,3200,1600,50.00
20,286,AKSHARCHEM,EQ,5289,3416,64.59
20,287,AKUMS,EQ,105614,55600,52.64
20,288,AKZOINDIA,EQ,7221,3545,49.09
20,289,ALANKIT,EQ,233273,132290,56.71
20,290,ALBERTDAVD,EQ,9857,5990,60.77
20,291,ALEMBICLTD,EQ,555580,190291,34.25
20,292,ALICON,EQ,18273,9945,54.42
20,293,ALIVUS,EQ,75933,20348,26.80
20,294,ALKALI,EQ,7915,4643,58.66
20,295,ALKEM,EQ,50438,22291,44.19
20,296,ALKYLAMINE,EQ,33220,17245,51.91
20,297,ALLCARGO,EQ,5284227,2745880,51.96
20,298,ALLDIGI,EQ,3716,2306,62.06
20,299,ALLETEC,SM,20400,13200,64.71
20,300,ALMONDZ,EQ,464528,247031,53.18
20,301,ALOKINDS,EQ,7305855,2198008,30.09
20,302,ALPA,EQ,17987,12757,70.92
