Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23022026,1823159772,0003138
Trade Date <23-FEB-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,22,22,100.00
20,2,1003ISFL28,N4,61,61,100.00
20,3,1015ECL29,NR,1,1,100.00
20,4,1015SCFL29,YY,6200,6200,100.00
20,5,1015SCL29T,N1,1,1,100.00
20,6,1015UCL26,N1,4,2,50.00
20,7,1018GS2026,GS,98,98,100.00
20,8,1025SCL35A,N1,11,11,100.00
20,9,1050NFL26,N7,42,42,100.00
20,10,1050SCFL31,Z2,166,166,100.00
20,11,1050UCL28,NH,351,207,58.97
20,12,105UCL2026,NB,18,18,100.00
20,13,1060ECL29,NS,420,20,4.76
20,14,1065NFL27,NC,564,564,100.00
20,15,10IIFL28,N4,525,525,100.00
20,16,10IIFL28A,NE,917,917,100.00
20,17,10IIFL29,N6,40,40,100.00
20,18,10ISFL26,N3,200,200,100.00
20,19,10NIDO26,N6,15,15,100.00
20,20,1102NFL26,N8,60,60,100.00
20,21,115VCCL28,N0,36,36,100.00
20,22,115VCCL28A,N0,6,6,100.00
20,23,1165ESFB32,N0,1,1,100.00
20,24,1225IFL27,N0,2,2,100.00
20,25,1225IFL28,N0,1,1,100.00
20,26,125VCCL31,N0,17,17,100.00
20,27,12AFIL27,N0,20,20,100.00
20,28,12AFIL27A,N0,11,11,100.00
20,29,12AFIL28,N0,20,20,100.00
20,30,12VCCL29A,N0,1,1,100.00
20,31,12VCCL29C,N0,1,1,100.00
20,32,182D140526,TB,200,100,50.00
20,33,20MICRONS,EQ,61886,33003,53.33
20,34,21STCENMGM,EQ,5382,4670,86.77
20,35,360ONE,EQ,793296,458925,57.85
20,36,364D081026,TB,1000,1000,100.00
20,37,364D100926,TB,2000,2000,100.00
20,38,364D231026,TB,3000,3000,100.00
20,39,3IINFOLTD,EQ,516897,456375,88.29
20,40,3MINDIA,EQ,2540,1480,58.27
20,41,3PLAND,EQ,1033,774,74.93
20,42,5PAISA,EQ,61377,22168,36.12
20,43,601GS2030,GS,103,103,100.00
20,44,633GS2035,GS,900,900,100.00
20,45,636GS2031,GS,500,500,100.00
20,46,63MOONS,EQ,391318,250760,64.08
20,47,648GS2035,GS,200,200,100.00
20,48,654GS2032,GS,5000,5000,100.00
20,49,667GS2050,GS,1565,1565,100.00
20,50,668GS2040,GS,2790,2790,100.00
20,51,676GS2061,GS,7155,7132,99.68
20,52,679GS2034,GS,100,100,100.00
20,53,68GS2060,GS,2860,2860,100.00
20,54,690GS2065,GS,2987,2987,100.00
20,55,692GS2039,GS,208,208,100.00
20,56,695GS2061,GS,26,15,57.69
20,57,699GS2026,GS,100,100,100.00
20,58,699GS2051,GS,2000,2000,100.00
20,59,704IRFC28,N6,13,13,100.00
20,60,704REC28,N4,15,15,100.00
20,61,706GS2028,GS,5000,5000,100.00
20,62,709GS2054,GS,11091,11081,99.91
20,63,709GS2074,GS,13264,13264,100.00
20,64,710GS2029,GS,1767,1767,100.00
20,65,714CG32,SG,100,100,100.00
20,66,717GS2030,GS,26802,26802,100.00
20,67,718GS2033,GS,15098,15098,100.00
20,68,718GS2037,GS,119344,116344,97.49
20,69,719GS2060,GS,306,306,100.00
20,70,71GS2034,GS,102,100,98.04
20,71,724GS2055,GS,11557,11556,99.99
20,72,725GS2063,GS,138442,88164,63.68
20,73,726GS2032,GS,3700,3700,100.00
20,74,726GS2033,GS,27219,27120,99.64
20,75,728NTPC30B,N9,90,90,100.00
20,76,730PFCL41,NC,29,29,100.00
20,77,732GS2030,GS,4500,4500,100.00
20,78,733GS2026,GS,199,199,100.00
20,79,734GS2064,GS,75203,75203,100.00
20,80,736GS2052,GS,222,111,50.00
20,81,737GS2028,GS,300,300,100.00
20,82,738GS2027,GS,294466,278736,94.66
20,83,73GS2053,GS,94209,66908,71.02
20,84,740IIFCL33,N1,425,425,100.00
20,85,741GS2036,GS,82744,66743,80.66
20,86,743GS2076,GS,1010,1010,100.00
20,87,746GS2073,GS,407,369,90.66
20,88,74GS2035,GS,1,1,100.00
20,89,74GS2062,GS,12,7,58.33
20,90,750IRFC35,NK,400,400,100.00
20,91,753IRFC30,NJ,301,300,99.67
20,92,753NTPC30E,NC,840,840,100.00
20,93,753TS47,SG,3000,3000,100.00
20,94,754GS2036,GS,277157,245684,88.64
20,95,758GA37A,SG,200,100,50.00
20,96,760PFCL35,N3,14,14,100.00
20,97,762NTPC35F,ND,4,1,25.00
20,98,764HUDCO31,N8,1,1,100.00
20,99,764IRFC31,NO,1500,1000,66.67
20,100,764NABAR31,N2,1020,1020,100.00
20,101,769HUDCO31,N9,989,959,96.97
20,102,769NHAI31,NE,1688,1350,79.98
20,103,76NHAI31,NA,366,301,82.24
20,104,772GS2049,GS,25,25,100.00
20,105,772GS2055,GS,359,289,80.50
20,106,774IREDA31,N7,400,400,100.00
20,107,795GS2032,GS,62,31,50.00
20,108,797IGT31,NL,10,10,100.00
20,109,79NHIT35,N1,35,35,100.00
20,110,79NHIT40,N2,220,220,100.00
20,111,79NHIT47,N3,532,532,100.00
20,112,7PFCL31,N3,61,61,100.00
20,113,810IRFC27,N2,3320,3320,100.00
20,114,812REC27,NI,92,92,100.00
20,115,81TCHF28,N8,370,370,100.00
20,116,820IIFL27,N9,10,10,100.00
20,117,829PFL29,N6,117,117,100.00
20,118,82HUDCO27,N2,4596,4295,93.45
20,119,82IGT31,NJ,522,462,88.51
20,120,830CIFC26,N2,2,1,50.00
20,121,830NHAI27,N2,953,953,100.00
20,122,840CIFCL28,N4,50,50,100.00
20,123,842IIFL26,NL,46,46,100.00
20,124,846REC28,N6,10,5,50.00
20,125,84TCHF28,NA,80,80,100.00
20,126,860AEL28,NH,78,78,100.00
20,127,862AEL31,NM,32,26,81.25
20,128,865IFL28,NZ,125,125,100.00
20,129,865IIFL28,NS,932,932,100.00
20,130,865IRFC29,NA,1,1,100.00
20,131,865LTF26,NN,260,260,100.00
20,132,86CIFC29,NN,125,125,100.00
20,133,871REC28,N9,273,273,100.00
20,134,872MMFSL26,N1,30,30,100.00
20,135,875AEL29,NK,20,20,100.00
20,136,875NHAI29,N6,200,200,100.00
20,137,875SFL27,ZF,248,248,100.00
20,138,876HUDCO28,ND,100,100,100.00
20,139,87LTF27,NH,22,22,100.00
20,140,880IREDA29,N5,308,308,100.00
20,141,888ECL28,N1,284,284,100.00
20,142,888IRFC29,NE,100,100,100.00
20,143,888SCL25E,N4,21,16,76.19
20,144,889SCL27,YT,10,10,100.00
20,145,890AEL31,NN,489,429,87.73
20,146,890SFIL23A,NZ,1,1,100.00
20,147,891IIFCL34,N4,620,620,100.00
20,148,891NTPC33,N6,877,868,98.97
20,149,892PFCL33,N8,921,650,70.58
20,150,895AEL27,N9,54,54,100.00
20,151,898LTF29,N7,39,39,100.00
20,152,89IHFL29,N1,84,84,100.00
20,153,8ABCL26,N2,10,10,100.00
20,154,901HUDCO34,NE,988,787,79.66
20,155,901NHB34,N6,64,64,100.00
20,156,915SCL26,NE,128,128,100.00
20,157,91D050326,TB,100,100,100.00
20,158,91D070526,TB,2500,2500,100.00
20,159,91D090426,TB,400,400,100.00
20,160,91D140526,TB,100,100,100.00
20,161,91D220526,TB,200,100,50.00
20,162,91D270326,TB,1700,1700,100.00
20,163,91SFL27,ZI,50,50,100.00
20,164,925AEL26,N1,1,1,100.00
20,165,925ECL28,N2,50,50,100.00
20,166,925SCL27B,N1,18,9,50.00
20,167,92GS2030,GS,37003,36903,99.73
20,168,930APMD27,N0,11,11,100.00
20,169,930APMD29,N0,1,1,100.00
20,170,930APMD30,N0,1,1,100.00
20,171,930SFL28,YP,3,3,100.00
20,172,935IIFL28,NZ,3,3,100.00
20,173,935LTF29,N5,27,26,96.30
20,174,935TSI27,N0,1,1,100.00
20,175,935TSI31,N0,9,9,100.00
20,176,935TSIIC28,N0,1,1,100.00
20,177,943ECL28,NJ,119,119,100.00
20,178,948SCL26A,NN,2001,1001,50.02
20,179,94SFL28,YL,20,20,100.00
20,180,950ISF27,N0,1,1,100.00
20,181,950ISF27C,N0,3,3,100.00
20,182,957ICCL25,YW,3,3,100.00
20,183,957IIFLS27,NA,80,80,100.00
20,184,960IIFLS26,N9,51,51,100.00
20,185,965AEL27,N4,434,394,90.78
20,186,965SCL26,YO,133,133,100.00
20,187,96IIFL28,N5,1954,1695,86.75
20,188,96IIFL28A,NF,1255,1255,100.00
20,189,96SFIL24A,NB,1,1,100.00
20,190,971SCL29,Z0,1000,1000,100.00
20,191,97SFL26,Z9,50,50,100.00
20,192,97SFL29,YZ,10,10,100.00
20,193,985ECL28,NK,1818,972,53.47
20,194,990SCFL26,AJ,10,10,100.00
20,195,995SCL2035,NM,40,30,75.00
20,196,9AEL30,NE,2405,2405,100.00
20,197,9IIFL28,Y0,10,10,100.00
20,198,9TCAP28,N9,42,42,100.00
20,199,A2ZINFRA,EQ,107011,88003,82.24
20,200,AADHARHFC,EQ,462956,408935,88.33
20,201,AAKAAR,SM,8000,4800,60.00
20,202,AAKASH,EQ,398933,169587,42.51
20,203,AARADHYA,SM,1200,1200,100.00
20,204,AAREYDRUGS,EQ,781999,310790,39.74
20,205,AARON,EQ,7396,3104,41.97
20,206,AARTECH,EQ,62196,31732,51.02
20,207,AARTIDRUGS,EQ,105522,58252,55.20
20,208,AARTIIND,EQ,536594,210867,39.30
20,209,AARTIPHARM,EQ,208678,108667,52.07
20,210,AARTISURF,EQ,5586,3110,55.67
20,211,AARTISURF,P1,1,1,100.00
20,212,AARVI,EQ,7666,5152,67.21
20,213,AATMAJ,SM,4000,4000,100.00
20,214,AAVAS,EQ,181284,114515,63.17
20,215,ABB,EQ,831004,168581,20.29
20,216,ABBOTINDIA,EQ,4509,3049,67.62
20,217,ABCAPITAL,EQ,8310977,5077366,61.09
20,218,ABCL26,N3,2,2,100.00
20,219,ABCOTS,EQ,19107,11877,62.16
20,220,ABDL,EQ,115769,53424,46.15
20,221,ABFRL,EQ,3678544,1594053,43.33
20,222,ABGSEC,EQ,82,41,50.00
20,223,ABHAPOWER,SM,1600,1600,100.00
20,224,ABINFRA,EQ,6125700,4182443,68.28
20,225,ABLBL,EQ,458882,235843,51.40
20,226,ABREL,EQ,70262,32506,46.26
20,227,ABSLAMC,EQ,527929,226441,42.89
20,228,ABSLBANETF,EQ,30891,23411,75.79
20,229,ABSLLIQUID,EQ,2730,1630,59.71
20,230,ABSLMSCIN,EQ,646,454,70.28
20,231,ABSLNN50ET,EQ,6358,5383,84.66
20,232,ABSLPSE,EQ,502082,294647,58.69
20,233,ABSMARINE,SM,70000,46000,65.71
20,234,ACC,EQ,96024,42811,44.58
20,235,ACCELYA,EQ,13669,9164,67.04
20,236,ACCENTMIC,SM,28000,19500,69.64
20,237,ACCORD,SM,2000,2000,100.00
20,238,ACCURACY,EQ,91739,60105,65.52
20,239,ACE,EQ,137746,56085,40.72
20,240,ACEINTEG,EQ,1114,1084,97.31
20,241,ACI,EQ,60740,20886,34.39
20,242,ACL,EQ,31062,23981,77.20
20,243,ACMESOLAR,EQ,301566,141150,46.81
20,244,ACTIVEINFR,SM,600,600,100.00
20,245,ACUTAAS,EQ,337347,191629,56.80
20,246,ADANIENSOL,EQ,1266712,631163,49.83
20,247,ADANIENT,EQ,1103960,301580,27.32
