Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,19032025,1752296210,0002723
Trade Date <19-MAR-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,10,5,50.00
20,2,1003SFIL28,NX,12,12,100.00
20,3,1015ECL29,NR,31,21,67.74
20,4,1018GS2026,GS,8520,7920,92.96
20,5,1025NFL25,N5,54,54,100.00
20,6,1025SCL34,Z8,31,31,100.00
20,7,1030SFIL28,NM,174,174,100.00
20,8,1035UCL26,NA,17,17,100.00
20,9,1050IIFL29,ND,35,35,100.00
20,10,1050ISFL28,N5,60,60,100.00
20,11,1050NFL26,N7,90,90,100.00
20,12,105IIFL29,N7,225,225,100.00
20,13,1060ECL29,NS,141,141,100.00
20,14,1065NFL27,NC,169,169,100.00
20,15,1075NFL25,N6,102,102,100.00
20,16,10CAGL27,N5,95,95,100.00
20,17,10IIFL28,N4,282,282,100.00
20,18,10IIFL28A,NE,451,243,53.88
20,19,10IIFL29,N6,166,166,100.00
20,20,10NFL25,N9,86,86,100.00
20,21,10NIDO26,N6,603,603,100.00
20,22,182D030725,TB,100,100,100.00
20,23,182D070825,TB,100,100,100.00
20,24,182D170725,TB,200,200,100.00
20,25,20MICRONS,EQ,147127,69918,47.52
20,26,360ONE,EQ,2776070,1977642,71.24
20,27,364D030425,TB,3000,3000,100.00
20,28,364D030725,TB,8500,8500,100.00
20,29,364D050625,TB,100,100,100.00
20,30,364D061125,TB,100,100,100.00
20,31,364D091025,TB,5100,5100,100.00
20,32,364D100725,TB,2000,2000,100.00
20,33,364D150126,TB,400,400,100.00
20,34,364D150825,TB,5000,5000,100.00
20,35,364D190625,TB,17500,17500,100.00
20,36,364D231025,TB,100,100,100.00
20,37,364D260625,TB,100,100,100.00
20,38,364D310725,TB,2100,2100,100.00
20,39,3IINFOLTD,EQ,1799506,955549,53.10
20,40,3MINDIA,EQ,5635,3049,54.11
20,41,574GS2026,GS,37,37,100.00
20,42,577GS2030,GS,27,26,96.30
20,43,5PAISA,EQ,42202,17976,42.60
20,44,622GS2035,GS,367,351,95.64
20,45,63MOONS,EQ,200626,120883,60.25
20,46,654GS2032,GS,3000,3000,100.00
20,47,675GS2029,GS,1,1,100.00
20,48,676GS2061,GS,533,533,100.00
20,49,679GS2031,GS,100,100,100.00
20,50,679GS2034,GS,2200,2200,100.00
20,51,68GS2060,GS,151,151,100.00
20,52,695GS2061,GS,4,4,100.00
20,53,697GR2034,GS,100,100,100.00
20,54,698GR2054,GS,1000,1000,100.00
20,55,699GS2051,GS,9999,9999,100.00
20,56,702GS2027,GS,3235,2885,89.18
20,57,702GS2031,GS,400,400,100.00
20,58,706GS2028,GS,2566,2566,100.00
20,59,709GS2054,GS,3330,3330,100.00
20,60,710GS2029,GS,7450,7449,99.99
20,61,717GS2030,GS,3886,3886,100.00
20,62,718GS2037,GS,11040,10540,95.47
20,63,719HUDCO28,N7,500,500,100.00
20,64,725GS2063,GS,1,1,100.00
20,65,726GS2032,GS,61013,59512,97.54
20,66,726GS2033,GS,3700,3700,100.00
20,67,727GS2026,GS,1,1,100.00
20,68,732IRFC25,NI,58,58,100.00
20,69,734GS2064,GS,32515,31970,98.32
20,70,734IRFC28,N4,29,19,65.52
20,71,735NABAR31,N1,78,78,100.00
20,72,736GS2052,GS,7760,7760,100.00
20,73,737GS2028,GS,1142,1142,100.00
20,74,738GS2027,GS,76516,75866,99.15
20,75,739NHAI26,N8,709,709,100.00
20,76,73GS2053,GS,5247,5247,100.00
20,77,741GS2036,GS,151,151,100.00
20,78,743TN53,SG,100,100,100.00
20,79,746GS2073,GS,1036,1036,100.00
20,80,74GS2062,GS,209,209,100.00
20,81,751HUDCO28,N5,1531,1531,100.00
20,82,753IRFC30,NJ,1629,1629,100.00
20,83,754GS2036,GS,374876,266408,71.07
20,84,759GS2026,GS,13,13,100.00
20,85,762NTPC35F,ND,100,100,100.00
20,86,764HUDCO31,N8,651,477,73.27
20,87,764NABAR31,N2,1573,1572,99.94
20,88,769HUDCO31,N9,10,10,100.00
20,89,769NHAI31,NE,424,420,99.06
20,90,76NHAI31,NA,14775,13902,94.09
20,91,774IREDA31,N7,1280,1079,84.30
20,92,797IGT31,NL,2,2,100.00
20,93,79NHIT35,N1,81,81,100.00
20,94,79NHIT47,N3,610,610,100.00
20,95,810IRFC27,N2,1487,885,59.52
20,96,820IIFL27,N9,500,500,100.00
20,97,824GS2027,GS,2073,2073,100.00
20,98,824GS2033,GS,85,85,100.00
20,99,82HUDCO27,N2,810,810,100.00
20,100,82IGT31,NJ,41,41,100.00
20,101,830CIFC26,N2,84,84,100.00
20,102,830NHAI27,N2,316,302,95.57
20,103,830PFCL27,N5,225,225,100.00
20,104,837REC33,N7,6,3,50.00
20,105,840CIFCL28,N4,20,20,100.00
20,106,842IIFL26,NL,70,70,100.00
20,107,846REC28,N6,1451,1401,96.55
20,108,84TCHF28,NA,250,250,100.00
20,109,850IIFL27,NA,50,50,100.00
20,110,863IRFC29,NC,1130,1130,100.00
20,111,865IIFL28,NS,401,401,100.00
20,112,865IRFC29,NA,554,549,99.10
20,113,865LTF26,NN,211,211,100.00
20,114,865SCL26,N8,4,4,100.00
20,115,865TCAPS27,N8,766,766,100.00
20,116,866IIFC34B,N3,1,1,100.00
20,117,867NHPC33,N3,5,5,100.00
20,118,871REC28,N9,960,907,94.48
20,119,872MMFSL26,N1,60,60,100.00
20,120,873NTPC28,N5,128,128,100.00
20,121,875IIFL26A,NQ,1163,1163,100.00
20,122,875NHAI29,N6,2212,1459,65.96
20,123,875SFL27,ZF,89,89,100.00
20,124,876HUDCO28,ND,3465,2895,83.55
20,125,87LTF27,NH,113,104,92.04
20,126,880IREDA29,N5,50,50,100.00
20,127,880IREDA34,N6,1,1,100.00
20,128,883GS2041,GS,2,1,50.00
20,129,885SCL26,N9,118,106,89.83
20,130,886REC34,NG,5,5,100.00
20,131,888ERFL28,N5,398,248,62.31
20,132,888IRFC29,NE,184,179,97.28
20,133,888REC29,NF,1230,1000,81.30
20,134,890SFIL23A,NZ,31,31,100.00
20,135,891IIFCL34,N4,343,343,100.00
20,136,891NTPC33,N6,332,166,50.00
20,137,892NHPC33,N6,28,28,100.00
20,138,892PFCL33,N8,60,60,100.00
20,139,893NHB29,N6,49,49,100.00
20,140,898LTF29,N7,25,25,100.00
20,141,8ABFL26,N0,25,25,100.00
20,142,901HUDCO34,NE,1001,1000,99.90
20,143,901NHB34,N6,132,112,84.85
20,144,903SFL28,YI,100,100,100.00
20,145,910TCAP28,NA,158,150,94.94
20,146,91D010525,TB,100,100,100.00
20,147,91D100425,TB,2400,2400,100.00
20,148,91D170425,TB,400,400,100.00
20,149,91D240425,TB,700,700,100.00
20,150,91D280325,TB,200,200,100.00
20,151,91MOFSL27,N2,50,50,100.00
20,152,920IIFLS26,N8,100,100,100.00
20,153,925IHFL25D,N6,205,205,100.00
20,154,925SCFL27,YA,17,17,100.00
20,155,925SCL25,N5,15,5,33.33
20,156,925SCL26F,N1,6,6,100.00
20,157,925SCL27,YR,4,4,100.00
20,158,92GS2030,GS,600,494,82.33
20,159,92SFIL28,ND,485,485,100.00
20,160,932AEL27,N3,100,100,100.00
20,161,935LTF29,N5,100,100,100.00
20,162,93MOFSL34,N6,2,1,50.00
20,163,943ECL28,NJ,60,50,83.33
20,164,945IFSL25,N4,14,14,100.00
20,165,948SCL26D,AI,19,18,94.74
20,166,94SFL28,YL,100,100,100.00
20,167,955SCL27A,ZJ,10,10,100.00
20,168,956AEL29,N6,732,531,72.54
20,169,957ICCL25,YW,10,9,90.00
20,170,957NIDO26,N5,38,38,100.00
20,171,965AEL27,N4,349,349,100.00
20,172,965IHFL25D,N7,52,52,100.00
20,173,965SCL25B,Y1,1,1,100.00
20,174,965SCL25C,N0,60,60,100.00
20,175,966SFIL25A,NI,201,201,100.00
20,176,96IIFL28,N5,926,683,73.76
20,177,96IIFL28A,NF,1423,1282,90.09
20,178,96SFIL24A,NB,110,110,100.00
20,179,970CAGL28,ND,746,746,100.00
20,180,971SCL29A,ZN,10,10,100.00
