Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01042025,1670708333,0002773
Trade Date <01-APR-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,60,60,100.00
20,2,1003ISFL28,N4,468,468,100.00
20,3,1003SFIL28,NX,97,97,100.00
20,4,1015ECL29,NR,195,195,100.00
20,5,1015UCL26,N1,5,5,100.00
20,6,1018GS2026,GS,18376,17337,94.35
20,7,1025UCL26A,N1,60,60,100.00
20,8,1030SFIL28,NM,32,32,100.00
20,9,1040NFL26,NA,15,15,100.00
20,10,1049DLS25A,Y5,1,1,100.00
20,11,1050ISFL28,N5,31,31,100.00
20,12,1050UCL25,N7,757,757,100.00
20,13,1060ECL29,NS,1,1,100.00
20,14,1065NFL27,NC,25,25,100.00
20,15,1075UCL25,N9,23,23,100.00
20,16,10CAGL27,N5,67,67,100.00
20,17,10IIFL28,N4,300,300,100.00
20,18,10IIFL28A,NE,760,720,94.74
20,19,10IIFL29,N6,50,50,100.00
20,20,10NFL25,N9,405,385,95.06
20,21,10NIDO26,N6,66,35,53.03
20,22,10SCL30A,BV,10,10,100.00
20,23,1102NFL26,N8,40,20,50.00
20,24,182D040425,TB,2000,2000,100.00
20,25,182D240425,TB,3500,3500,100.00
20,26,20MICRONS,EQ,164514,61408,37.33
20,27,21STCENMGM,EQ,5539,4698,84.82
20,28,360ONE,EQ,529235,211725,40.01
20,29,364D010126,TB,900,900,100.00
20,30,364D020525,TB,21100,21100,100.00
20,31,364D061125,TB,11000,11000,100.00
20,32,364D070825,TB,3700,3700,100.00
20,33,364D110425,TB,200,200,100.00
20,34,364D120625,TB,1000,1000,100.00
20,35,364D180425,TB,1500,1500,100.00
20,36,364D180725,TB,1600,1600,100.00
20,37,364D190625,TB,100,100,100.00
20,38,364D220126,TB,110000,0,0.00
20,39,364D270226,TB,100,100,100.00
20,40,364D271125,TB,6200,6100,98.39
20,41,364D290525,TB,400,200,50.00
20,42,364D301025,TB,100,100,100.00
20,43,364D310725,TB,200,200,100.00
20,44,3IINFOLTD,EQ,679150,269302,39.65
20,45,3MINDIA,EQ,3199,1476,46.14
20,46,3PLAND,EQ,2487,2146,86.29
20,47,563GS2026,GS,2,2,100.00
20,48,579GS2030,GS,1000,1000,100.00
20,49,5PAISA,EQ,41201,16463,39.96
20,50,601GS2028,GS,2,1,50.00
20,51,619GS2034,GS,12,12,100.00
20,52,63MOONS,EQ,97986,43009,43.89
20,53,654GS2032,GS,3,1,33.33
20,54,667GS2035,GS,1,1,100.00
20,55,667GS2050,GS,2013,2009,99.80
20,56,676GS2061,GS,2564,2564,100.00
20,57,679GS2031,GS,2000,2000,100.00
20,58,679GS2034,GS,7200,7200,100.00
20,59,692GS2039,GS,1099,1099,100.00
20,60,695GS2061,GS,146,144,98.63
20,61,698MH28,SG,1000,1000,100.00
20,62,699GS2051,GS,208,108,51.92
20,63,702GS2027,GS,14953,14952,99.99
20,64,702GS2031,GS,5260,5160,98.10
20,65,704GS2029,GS,102000,102000,100.00
20,66,706GS2028,GS,28966,28966,100.00
20,67,709GS2054,GS,23300,19800,84.98
20,68,709GS2074,GS,217,217,100.00
20,69,710GS2029,GS,9507,8505,89.46
20,70,711NTPC25A,N8,50,50,100.00
20,71,717GS2030,GS,3500,3500,100.00
20,72,718GS2033,GS,14300,14300,100.00
20,73,718GS2037,GS,82180,56930,69.27
20,74,719GS2060,GS,101,101,100.00
20,75,71GS2034,GS,5000,5000,100.00
20,76,725GS2063,GS,11216,10281,91.66
20,77,726GS2032,GS,52203,49704,95.21
20,78,726GS2033,GS,100,100,100.00
20,79,729IRFC26,NN,100,100,100.00
20,80,729PY26,SG,300,300,100.00
20,81,732GS2030,GS,12100,12100,100.00
20,82,732IRFC25,NI,712,712,100.00
20,83,733GS2026,GS,600,600,100.00
20,84,734GS2064,GS,322,300,93.17
20,85,736NTPC25D,NB,141,141,100.00
20,86,737GS2028,GS,9454,9211,97.43
20,87,738GS2027,GS,130362,90148,69.15
20,88,739NHAI26,N8,501,501,100.00
20,89,73GS2053,GS,11113,11010,99.07
20,90,741GS2036,GS,10023,10023,100.00
20,91,745AP38,SG,300,200,66.67
20,92,746GS2073,GS,16001,16001,100.00
20,93,750IRFC35,NK,650,650,100.00
20,94,751HUDCO28,N5,11,11,100.00
20,95,753IRFC30,NJ,938,819,87.31
20,96,754GS2036,GS,396094,392484,99.09
20,97,759GS2026,GS,620,620,100.00
20,98,75GS2034,GS,3500,3500,100.00
20,99,762NTPC35F,ND,258,258,100.00
20,100,764HUDCO31,N8,460,450,97.83
20,101,764NABAR31,N2,2211,2193,99.19
20,102,769HUDCO31,N9,51,51,100.00
20,103,769NHAI31,NE,1,1,100.00
20,104,76NHAI31,NA,3169,2948,93.03
20,105,772GS2055,GS,9,7,77.78
20,106,773KA35A,SG,100,100,100.00
20,107,774IREDA31,N7,1008,950,94.25
20,108,79NHIT47,N3,67,67,100.00
20,109,805ABFL28,N2,561,442,78.79
20,110,810IRFC27,N2,2537,2500,98.54
20,111,812REC27,NI,2130,2130,100.00
20,112,81ABFL33,N5,944,944,100.00
20,113,81TCHF28,N8,3,3,100.00
20,114,820IIFL27,N9,100,100,100.00
20,115,824GS2027,GS,14101,14101,100.00
20,116,828GS2032,GS,432,262,60.65
20,117,82GS2025,GS,9,9,100.00
20,118,82HUDCO27,N2,1669,1219,73.04
20,119,82IGT31,NJ,50,50,100.00
20,120,830NHAI27,N2,4567,3356,73.48
20,121,830PFCL27,N5,512,512,100.00
20,122,835SCL23B,YM,91,91,100.00
20,123,840IRFC29,N8,3000,3000,100.00
20,124,842IIFL26,NL,40,35,87.50
20,125,843IHFL29,NC,271,271,100.00
20,126,84TCHF28,NA,320,320,100.00
20,127,85PFL26A,N7,5,5,100.00
20,128,860CIFCL28,NG,5,5,100.00
20,129,865IFL28,NZ,552,552,100.00
20,130,865IRFC29,NA,1845,248,13.44
20,131,865LTF26,NN,107,107,100.00
20,132,865TCAPS27,N8,352,232,65.91
20,133,866IIFC34B,N3,252,251,99.60
20,134,866NTPC33,N3,131,131,100.00
20,135,871REC28,N9,2708,2148,79.32
20,136,872MMFSL26,N1,9,9,100.00
20,137,875NHAI29,N6,578,322,55.71
20,138,876HUDCO28,ND,309,304,98.38
20,139,883GS2041,GS,2,1,50.00
20,140,885IHL26,N1,2,2,100.00
20,141,885TCAPS29,NC,20,20,100.00
20,142,886REC34,NG,5,5,100.00
20,143,888IRFC29,NE,1384,1237,89.38
20,144,888NHB29,N5,200,100,50.00
20,145,889SCL26,NS,3,3,100.00
20,146,890SFIL23A,NZ,310,310,100.00
20,147,891IIFCL34,N4,493,493,100.00
20,148,891NTPC33,N6,684,683,99.85
20,149,892NHPC33,N6,296,210,70.95
20,150,893NHB29,N6,10,10,100.00
20,151,897GS2030,GS,100,100,100.00
20,152,89IHFL29,N1,250,250,100.00
20,153,901HUDCO34,NE,641,629,98.13
20,154,901NHB34,N6,36,36,100.00
20,155,903SFL28,YI,75,55,73.33
20,156,905LTF27,NF,153,153,100.00
20,157,905PEL26,N1,25,25,100.00
20,158,905SC24B,Z9,24,24,100.00
20,159,910TCAP28,NA,1,1,100.00
20,160,91D010525,TB,100,100,100.00
20,161,91D150525,TB,700,700,100.00
20,162,91D240425,TB,700,700,100.00
20,163,921ISFL25,N0,50,50,100.00
20,164,925ERFL28,N6,1,1,100.00
20,165,925SCL25B,Y3,2,2,100.00
20,166,925SCL26F,N1,14,14,100.00
20,167,925SCL27,YR,13,13,100.00
20,168,92GS2030,GS,4312,3159,73.26
20,169,92SFIL28,ND,448,448,100.00
20,170,930SFL28,YP,16,16,100.00
20,171,932AEL27,N3,35,35,100.00
20,172,935LTF29,N5,50,50,100.00
20,173,935TSI31,N0,90,90,100.00
20,174,93MOFSL34,N6,150,150,100.00
20,175,93SCL24A,ZN,8,8,100.00
20,176,943ECL28,NJ,696,380,54.60
20,177,945IFSL25,N4,271,171,63.10
20,178,948SCL26A,NN,28,28,100.00
20,179,94SFL28,YL,1,1,100.00
20,180,957NIDO26,N5,269,269,100.00
20,181,965SCL25A,NF,25,25,100.00
20,182,965SCL25B,Y1,30,30,100.00
20,183,965SFIL25I,NQ,1,1,100.00
20,184,96IIFL28,N5,620,620,100.00
20,185,96IIFL28A,NF,1188,1138,95.79
20,186,96SFIL24A,NB,7,7,100.00
20,187,971SCL28I,BC,4,4,100.00
20,188,971SCL29A,ZN,64,64,100.00
20,189,97SFL28,YS,50,50,100.00
20,190,97SFL29,YZ,71,70,98.59
20,191,985ECL28,NK,1630,1385,84.97
20,192,985IIFL22,NC,351,351,100.00
20,193,990SCL26,N7,12,12,100.00
20,194,9MMFSML,N2,298,298,100.00
20,195,9SCL25,YM,1,1,100.00
20,196,9SCL26BA,NA,50,50,100.00
20,197,A2ZINFRA,EQ,243737,169726,69.63
20,198,AAATECH,EQ,51673,19472,37.68
20,199,AADHARHFC,EQ,216205,120457,55.71
20,200,AAKASH,EQ,125397,79526,63.42
20,201,AAREYDRUGS,EQ,19308,11533,59.73
20,202,AARON,EQ,5299,3090,58.31
20,203,AARTIDRUGS,EQ,197327,94149,47.71
20,204,AARTIIND,EQ,888899,289521,32.57
20,205,AARTIPHARM,EQ,351016,155540,44.31
20,206,AARTISURF,EQ,12177,7119,58.46
20,207,AARVI,EQ,12991,9827,75.64
20,208,AATMAJ,SM,4000,4000,100.00
20,209,AAVAS,EQ,195308,85441,43.75
20,210,ABB,EQ,380081,176707,46.49
20,211,ABBOTINDIA,EQ,6596,1987,30.12
20,212,ABCAPITAL,EQ,3470386,1552769,44.74
20,213,ABCOTS,SM,11500,11000,95.65
20,214,ABDL,EQ,378850,204823,54.06
20,215,ABFRL,EQ,1511871,443221,29.32
20,216,ABGSEC,EQ,817,663,81.15
20,217,ABHAPOWER,ST,6400,6400,100.00
20,218,ABINFRA,EQ,45552,22436,49.25
20,219,ABMINTLLTD,EQ,725,725,100.00
20,220,ABREL,EQ,786441,287436,36.55
20,221,ABSLAMC,EQ,133536,57369,42.96
20,222,ABSLBANETF,EQ,95235,50093,52.60
20,223,ABSLLIQUID,EQ,8209,7075,86.19
20,224,ABSLNN50ET,EQ,45816,40552,88.51
20,225,ABSLPSE,EQ,232483,144651,62.22
20,226,ABSMARINE,ST,22500,22000,97.78
20,227,ACC,EQ,183723,103092,56.11
20,228,ACCELYA,EQ,8847,4288,48.47
20,229,ACCENTMIC,SM,21500,12500,58.14
20,230,ACCURACY,EQ,119622,87690,73.31
20,231,ACE,EQ,132521,46521,35.10
20,232,ACEINTEG,EQ,10224,8704,85.13
20,233,ACI,EQ,494486,172849,34.96
20,234,ACL,EQ,51175,25973,50.75
20,235,ACLGATI,EQ,1084375,371280,34.24
20,236,ACMESOLAR,EQ,1621432,1221723,75.35
20,237,ACTIVEINFR,ST,37200,37200,100.00
20,238,ADANIENSOL,EQ,1899810,566651,29.83
20,239,ADANIENT,EQ,501942,113208,22.55
20,240,ADANIGREEN,EQ,3393666,1056794,31.14
20,241,ADANIPORTS,EQ,1584541,529261,33.40
20,242,ADANIPOWER,EQ,2358973,831220,35.24
20,243,ADFFOODS,EQ,78558,32418,41.27
20,244,ADL,EQ,1133,166,14.65
20,245,ADORWELD,EQ,12245,6070,49.57
20,246,ADROITINFO,EQ,49974,29789,59.61
20,247,ADSL,EQ,277727,114946,41.39
20,248,ADVANIHOTR,EQ,58558,30777,52.56
20,249,ADVENZYMES,EQ,153746,63031,41.00
20,250,AEGISLOG,EQ,1491601,241938,16.22
20,251,AEROFLEX,EQ,424187,127872,30.15
20,252,AERON,SM,30000,17000,56.67
20,253,AESTHETIK,SM,24000,24000,100.00
20,254,AETHER,EQ,71021,43034,60.59
20,255,AFCONS,EQ,749669,394599,52.64
20,256,AFFLE,EQ,153845,67810,44.08
20,257,AFFORDABLE,EQ,15619,9706,62.14
20,258,AFIL,EQ,349041,201466,57.72
20,259,AGARIND,EQ,7932,3265,41.16
20,260,AGARWALEYE,EQ,260203,134906,51.85
20,261,AGARWALFT,ST,7500,6000,80.00
20,262,AGARWALTUF,SM,21600,10800,50.00
20,263,AGI,EQ,439831,140207,31.88
20,264,AGIIL,EQ,37780,15963,42.25
20,265,AGNI,ST,22500,22500,100.00
20,266,AGRITECH,EQ,10113,3748,37.06
20,267,AGROPHOS,EQ,18550,6613,35.65
20,268,AHLADA,EQ,184871,48495,26.23
20,269,AHLEAST,EQ,6234,3435,55.10
20,270,AHLUCONT,EQ,52867,26251,49.65
20,271,AIAENG,EQ,12503,6543,52.33
20,272,AIIL,EQ,119171,42465,35.63
20,273,AILIMITED,SM,3000,3000,100.00
20,274,AIMTRON,SM,37200,28000,75.27
20,275,AIRAN,EQ,99623,49057,49.24
20,276,AIROLAM,EQ,7533,1317,17.48
20,277,AIRTELPP,E1,366518,321615,87.75
20,278,AISL,SM,600,600,100.00
20,279,AJANTPHARM,EQ,82564,35454,42.94
20,280,AJAXENGG,EQ,263798,150207,56.94
20,281,AJMERA,EQ,33624,12865,38.26
20,282,AJOONI,EQ,1527109,810984,53.11
20,283,AKANKSHA,SM,11000,9000,81.82
20,284,AKASH,EQ,8667,4261,49.16
20,285,AKG,EQ,57476,46188,80.36
20,286,AKIKO,SM,25600,19200,75.00
20,287,AKSHARCHEM,EQ,4367,2576,58.99
20,288,AKSHOPTFBR,EQ,431830,311453,72.12
20,289,AKUMS,EQ,177300,104766,59.09
20,290,AKZOINDIA,EQ,3900,1787,45.82
20,291,ALANKIT,EQ,337399,180605,53.53
20,292,ALBERTDAVD,EQ,9881,5450,55.16
20,293,ALEMBICLTD,EQ,344248,169518,49.24
20,294,ALICON,EQ,19460,10076,51.78
20,295,ALIVUS,EQ,70994,30698,43.24
20,296,ALKALI,EQ,11855,4352,36.71
20,297,ALKEM,EQ,32852,13083,39.82
20,298,ALKYLAMINE,EQ,170757,26793,15.69
20,299,ALLCARGO,EQ,8382279,2551986,30.45
20,300,ALLDIGI,EQ,9553,4904,51.33
20,301,ALLETEC,SM,36400,23600,64.84
20,302,ALMONDZ,EQ,385647,235708,61.12
20,303,ALOKINDS,EQ,8105149,2501264,30.86
20,304,ALPA,EQ,26507,16452,62.07
20,305,ALPEXSOLAR,SM,70800,42800,60.45
20,306,ALPHA,EQ,2334145,1695448,72.64
20,307,ALPHAETF,EQ,905715,414712,45.79
20,308,ALPL30IETF,EQ,763070,553394,72.52
20,309,ALUWIND,SM,6000,6000,100.00
20,310,AMBER,EQ,376900,99326,26.35
20,311,AMBEY,SM,6000,6000,100.00
20,312,AMBICAAGAR,EQ,43929,6004,13.67
20,313,AMBIKCO,EQ,7724,4008,51.89
20,314,AMBUJACEM,EQ,953159,394754,41.42
20,315,AMDIND,EQ,21321,3391,15.90
20,316,AMEYA,SM,3000,3000,100.00
20,317,AMIORG,EQ,224049,81525,36.39
20,318,AMJLAND,EQ,28445,19768,69.50
20,319,AMNPLST,EQ,5168,2775,53.70
20,320,AMRUTANJAN,EQ,15352,6198,40.37
20,321,ANANDRATHI,EQ,72727,26433,36.35
20,322,ANANTRAJ,EQ,991467,409140,41.27
20,323,ANDHRAPAP,EQ,553323,278364,50.31
20,324,ANDHRSUGAR,EQ,474877,149355,31.45
20,325,ANGELONE,EQ,848734,205219,24.18
20,326,ANIKINDS,EQ,53438,34490,64.54
20,327,ANLON,SM,4800,4400,91.67
20,328,ANMOL,EQ,98837,58027,58.71
20,329,ANNAPURNA,SM,103250,69000,66.83
20,330,ANTGRAPHIC,EQ,306832,203205,66.23
20,331,ANUHPHR,EQ,31157,18721,60.09
20,332,ANUP,EQ,45385,20846,45.93
20,333,ANURAS,EQ,31487,8582,27.26
20,334,ANYA,SM,50000,40000,80.00
20,335,ANZEN,IV,100000,100000,100.00
20,336,AONELIQUID,EQ,437,325,74.37
20,337,AONETOTAL,EQ,355239,213819,60.19
20,338,APARINDS,EQ,93647,35046,37.42
20,339,APCL,EQ,20832,11121,53.38
20,340,APCOTEXIND,EQ,34300,16423,47.88
20,341,APEX,EQ,51328,19390,37.78
20,342,APEXECO,ST,12800,12800,100.00
20,343,APLAPOLLO,EQ,822631,468586,56.96
20,344,APLLTD,EQ,101776,31399,30.85
20,345,APOLLO,EQ,5917710,1797272,30.37
20,346,APOLLOHOSP,EQ,319668,216728,67.80
20,347,APOLLOPIPE,EQ,193735,48193,24.88
20,348,APOLLOTYRE,EQ,569201,206556,36.29
20,349,APOLSINHOT,EQ,951,619,65.09
20,350,APS,SM,91250,50750,55.62
20,351,APTECHT,EQ,431502,149186,34.57
20,352,APTUS,EQ,173839,86402,49.70
20,353,ARCHIDPLY,EQ,15160,2750,18.14
20,354,ARCHIES,EQ,46559,30095,64.64
20,355,ARE&M,EQ,535316,159943,29.88
20,356,ARENTERP,EQ,2172,1536,70.72
20,357,ARHAM,SM,6000,6000,100.00
20,358,ARIES,EQ,17717,9912,55.95
20,359,ARIHANTACA,SM,23200,14400,62.07
20,360,ARIHANTCAP,EQ,169678,58945,34.74
20,361,ARIHANTSUP,EQ,46949,12798,27.26
20,362,ARISTO,SM,1600,1600,100.00
20,363,ARKADE,EQ,1703709,407757,23.93
20,364,ARMANFIN,EQ,25067,10241,40.85
20,365,AROGRANITE,EQ,22022,6567,29.82
20,366,ARTEMISMED,EQ,44580,20250,45.42
20,367,ARTNIRMAN,EQ,2155,1410,65.43
20,368,ARVEE,EQ,194,192,98.97
20,369,ARVIND,EQ,363313,163273,44.94
20,370,ARVINDFASN,EQ,328951,151837,46.16
20,371,ARVINDPORT,ST,3000,3000,100.00
20,372,ARVSMART,EQ,27986,8919,31.87
20,373,ASAHIINDIA,EQ,34587,16525,47.78
20,374,ASAHISONG,EQ,20859,9422,45.17
20,375,ASAL,EQ,30683,12591,41.04
20,376,ASALCBR,EQ,34604,12225,35.33
20,377,ASHALOG,SM,17000,12000,70.59
20,378,ASHAPURMIN,EQ,245294,166616,67.93
20,379,ASHIANA,EQ,52087,24284,46.62
20,380,ASHIMASYN,EQ,210220,164333,78.17
20,381,ASHOKA,EQ,1169866,310146,26.51
20,382,ASHOKAMET,EQ,100606,48328,48.04
20,383,ASHOKLEY,EQ,8371374,2444741,29.20
20,384,ASIANENE,EQ,93714,38999,41.61
20,385,ASIANPAINT,EQ,970583,532236,54.84
20,386,ASIANTILES,EQ,704357,330924,46.98
20,387,ASKAUTOLTD,EQ,82086,36496,44.46
20,388,ASLIND,SM,38000,28000,73.68
20,389,ASMS,EQ,611739,343506,56.15
20,390,ASPINWALL,EQ,17384,11048,63.55
20,391,ASPIRE,ST,6000,6000,100.00
20,392,ASTEC,EQ,70409,26003,36.93
20,393,ASTERDM,EQ,1900617,480457,25.28
20,394,ASTRAL,EQ,545451,262913,48.20
20,395,ASTRAMICRO,EQ,170107,75525,44.40
20,396,ASTRAZEN,EQ,22139,9638,43.53
20,397,ASTRON,EQ,57904,47754,82.47
20,398,ATALREAL,EQ,1209261,429460,35.51
20,399,ATAM,EQ,45113,15272,33.85
20,400,ATGL,EQ,1551248,725965,46.80
20,401,ATL,EQ,776130,332677,42.86
20,402,ATMASTCO,SM,64000,49200,76.88
20,403,ATUL,EQ,52220,20168,38.62
20,404,ATULAUTO,EQ,1915570,165496,8.64
20,405,AUBANK,EQ,2210272,988351,44.72
20,406,AURDIS,ST,4375,4375,100.00
20,407,AURIONPRO,EQ,50295,17319,34.43
20,408,AUROIMPEX,SM,14400,12800,88.89
20,409,AUROPHARMA,EQ,1120935,583651,52.07
20,410,AURUM,EQ,33649,19804,58.85
20,411,AUSL,ST,4000,4000,100.00
20,412,AUSOMENT,EQ,3346,2345,70.08
20,413,AUTOAXLES,EQ,4047,2221,54.88
20,414,AUTOBEES,EQ,147652,71163,48.20
20,415,AUTOIETF,EQ,513543,267840,52.16
20,416,AUTOIND,EQ,110199,42714,38.76
20,417,AVADHSUGAR,EQ,90148,38285,42.47
20,418,AVALON,EQ,272210,83941,30.84
20,419,AVANTEL,EQ,769283,280200,36.42
20,420,AVANTIFEED,EQ,778033,338464,43.50
20,421,AVIANSH,SM,28000,20000,71.43
20,422,AVL,EQ,29727,12238,41.17
20,423,AVPINFRA,ST,48000,45600,95.00
20,424,AVROIND,EQ,21624,14985,69.30
20,425,AVTNPL,EQ,98918,48467,49.00
20,426,AWFIS,EQ,74491,33143,44.49
20,427,AWHCL,EQ,73226,30754,42.00
20,428,AWL,EQ,2571238,1182702,46.00
20,429,AXISBANK,EQ,6638140,3842068,57.88
20,430,AXISBNKETF,EQ,2635,2521,95.67
20,431,AXISBPSETF,EQ,104133,99973,96.01
20,432,AXISCETF,EQ,1767,1300,73.57
20,433,AXISGOLD,EQ,579921,298737,51.51
20,434,AXISHCETF,EQ,7570,5384,71.12
20,435,AXISILVER,EQ,116091,91154,78.52
20,436,AXISNIFTY,EQ,12496,12315,98.55
20,437,AXISTECETF,EQ,4422,2730,61.74
20,438,AXISVALUE,EQ,3959,2351,59.38
20,439,AXITA,EQ,719352,406265,56.48
20,440,AXSENSEX,EQ,1864,1040,55.79
20,441,AYMSYNTEX,EQ,43537,28961,66.52
20,442,AZAD,EQ,94185,34600,36.74
