Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25032025,1770165230,0002791
Trade Date <25-MAR-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,145,145,100.00
20,2,1003IIFL29,NC,289,287,99.31
20,3,1003ISFL28,N4,12,12,100.00
20,4,1015ECL29,NR,34432,34432,100.00
20,5,1018GS2026,GS,18574,16689,89.85
20,6,1025NFL25,N5,26,26,100.00
20,7,1025SCL35A,N1,44,19,43.18
20,8,1025UCL26A,N1,20,20,100.00
20,9,1030SFIL26,NJ,12,12,100.00
20,10,1030SFIL28,NM,1,1,100.00
20,11,1040NFL26,NA,2,2,100.00
20,12,1040UCL27B,N1,4,4,100.00
20,13,1050NFL26,N7,417,417,100.00
20,14,105IIFL29,N7,127,127,100.00
20,15,1060ECL29,NS,113,113,100.00
20,16,10CAGL27,N5,80,80,100.00
20,17,10IIFL28,N4,11,11,100.00
20,18,10IIFL28A,NE,532,531,99.81
20,19,10IIFL29,N6,302,302,100.00
20,20,10NIDO26,N6,321,316,98.44
20,21,11UCL26,NC,10,10,100.00
20,22,182D150525,TB,1000,500,50.00
20,23,20MICRONS,EQ,145681,93486,64.17
20,24,360ONE,EQ,757033,476084,62.89
20,25,364D030425,TB,800,400,50.00
20,26,364D120625,TB,5000,5000,100.00
20,27,364D231025,TB,100,100,100.00
20,28,364D310725,TB,4300,4000,93.02
20,29,3IINFOLTD,EQ,1459265,960324,65.81
20,30,3MINDIA,EQ,3700,1655,44.73
20,31,3PLAND,EQ,40098,37024,92.33
20,32,515GS2025,GS,2,0,0.00
20,33,574GS2026,GS,5300,5300,100.00
20,34,5PAISA,EQ,70119,24115,34.39
20,35,610GS2031,GS,2,2,100.00
20,36,622GS2035,GS,390,250,64.10
20,37,63MOONS,EQ,510056,237714,46.61
20,38,667GS2050,GS,16717,11383,68.09
20,39,676GS2061,GS,625,563,90.08
20,40,68GS2060,GS,199,199,100.00
20,41,695GS2061,GS,148,124,83.78
20,42,698GR2054,GS,200,200,100.00
20,43,699GS2026,GS,997,997,100.00
20,44,699GS2051,GS,200,200,100.00
20,45,702GS2027,GS,352,352,100.00
20,46,704GS2029,GS,1100,1100,100.00
20,47,706GS2028,GS,61650,61650,100.00
20,48,707IRFC25,NF,1,1,100.00
20,49,709GS2074,GS,22,22,100.00
20,50,710GS2029,GS,72093,69684,96.66
20,51,716GS2050,GS,156,156,100.00
20,52,717GS2030,GS,54000,54000,100.00
20,53,718GS2033,GS,501,501,100.00
20,54,718GS2037,GS,4001,4001,100.00
20,55,719GS2060,GS,468,468,100.00
20,56,725GS2063,GS,11779,11779,100.00
20,57,726GS2029,GS,30,30,100.00
20,58,726GS2032,GS,7461,7461,100.00
20,59,729IRFC26,NN,155,155,100.00
20,60,732GS2030,GS,202,202,100.00
20,61,732IRFC25,NI,159,159,100.00
20,62,733GS2026,GS,2310,2310,100.00
20,63,734GS2064,GS,1101,1101,100.00
20,64,736GS2052,GS,100,100,100.00
20,65,737GS2028,GS,2311,1811,78.36
20,66,737NTPC35C,NA,41,41,100.00
20,67,738GS2027,GS,162131,162130,100.00
20,68,738REC27TF,N2,1400,900,64.29
20,69,739NHAI26,N8,70,70,100.00
20,70,739NHAI31A,ND,1,1,100.00
20,71,73GS2053,GS,8163,7152,87.61
20,72,741GS2036,GS,5000,5000,100.00
20,73,746GS2073,GS,1100,1000,90.91
20,74,74GS2062,GS,10811,10741,99.35
20,75,753IRFC30,NJ,1,1,100.00
20,76,753NTPC30E,NC,16,16,100.00
20,77,754GS2036,GS,780304,752254,96.41
20,78,762NTPC35F,ND,40,40,100.00
20,79,764HUDCO31,N8,903,833,92.25
20,80,764IRFC31,NO,4304,2902,67.43
20,81,764NABAR31,N2,5437,3181,58.51
20,82,766KL46,SG,100,100,100.00
20,83,768CG32,SG,2800,2800,100.00
20,84,768KA37,SG,100,100,100.00
20,85,768TN30A,SG,100,100,100.00
20,86,769HUDCO31,N9,1414,978,69.17
20,87,769NHAI31,NE,1149,1140,99.22
20,88,76IGT26,ND,101,101,100.00
20,89,76NHAI31,NA,1480,1377,93.04
20,90,772GS2049,GS,185,62,33.51
20,91,772GS2055,GS,2,2,100.00
20,92,773GA33,SG,100,100,100.00
20,93,773KA35,SG,100,100,100.00
20,94,773KA36,SG,100,100,100.00
20,95,774IREDA31,N7,1800,1169,64.94
20,96,775HR35,SG,100,100,100.00
20,97,775TS37,SG,100,100,100.00
20,98,776MP37,SG,100,100,100.00
20,99,776MP37A,SG,100,100,100.00
20,100,778BR31,SG,100,100,100.00
20,101,797IGT31,NL,395,370,93.67
20,102,79NHIT35,N1,347,347,100.00
20,103,79NHIT40,N2,154,154,100.00
20,104,79NHIT47,N3,2,2,100.00
20,105,810IRFC27,N2,2,1,50.00
20,106,812REC27,NI,100,100,100.00
20,107,815GS2026,GS,2,2,100.00
20,108,81TCHF28,N8,232,199,85.78
20,109,820IIFL27,N9,14,14,100.00
20,110,82HUDCO27,N2,452,370,81.86
20,111,82IGT31,NJ,1,1,100.00
20,112,830NHAI27,N2,214,202,94.39
20,113,830PFCL27,N5,100,100,100.00
20,114,833GS2026,GS,421,421,100.00
20,115,835IFL25,NV,20,20,100.00
