Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23052025,1366614417,0002725
Trade Date <23-MAY-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,228,228,100.00
20,2,1003SCL30A,NV,5,5,100.00
20,3,1015ECL29,NR,401,401,100.00
20,4,1015SCL28A,AL,10,10,100.00
20,5,1015UCL26,N1,4,2,50.00
20,6,1018GS2026,GS,661,661,100.00
20,7,1025IIFL30,Y3,10,10,100.00
20,8,1025NFL25,N5,139,100,71.94
20,9,1040NFL26,NA,57,55,96.49
20,10,1050NFL26,N7,20,20,100.00
20,11,1050UCL25,N7,130,130,100.00
20,12,1050UCL28,NH,739,549,74.29
20,13,105IIFL29,N7,101,101,100.00
20,14,1060ECL29,NS,287,287,100.00
20,15,1065NFL27,NC,542,542,100.00
20,16,1075SCL33A,N2,10,10,100.00
20,17,10IIFL28,N4,857,857,100.00
20,18,10IIFL28A,NE,449,449,100.00
20,19,10IIFL29,N6,178,178,100.00
20,20,10NFL25,N9,41,41,100.00
20,21,10NIDO26,N6,264,264,100.00
20,22,1102NFL26,N8,295,200,67.80
20,23,12VCCL29B,N0,11,11,100.00
20,24,182D021025,TB,200,100,50.00
20,25,182D040925,TB,1000,1000,100.00
20,26,182D100725,TB,100,100,100.00
20,27,182D161025,TB,900,900,100.00
20,28,182D240725,TB,200,100,50.00
20,29,182D270625,TB,100,100,100.00
20,30,20MICRONS,EQ,137333,72366,52.69
20,31,21STCENMGM,EQ,2266,2037,89.89
20,32,360ONE,EQ,473437,264381,55.84
20,33,364D111225,TB,100,100,100.00
20,34,364D120625,TB,100,100,100.00
20,35,364D150825,TB,100,100,100.00
20,36,364D290525,TB,1000,1000,100.00
20,37,3IINFOLTD,EQ,466376,198550,42.57
20,38,3MINDIA,EQ,1097,512,46.67
20,39,3PLAND,EQ,4811,3439,71.48
20,40,522GS2025,GS,10,10,100.00
20,41,563GS2026,GS,6,6,100.00
20,42,585GS2030,GS,10,10,100.00
20,43,5PAISA,EQ,61408,29083,47.36
20,44,610GS2031,GS,1,1,100.00
20,45,622GS2035,GS,678,543,80.09
20,46,63MOONS,EQ,274679,129872,47.28
20,47,667GS2050,GS,432,432,100.00
20,48,676GS2061,GS,66305,66295,99.98
20,49,679GS2034,GS,2221,1720,77.44
20,50,679GS2034A,GS,100,100,100.00
20,51,68GS2060,GS,784,784,100.00
20,52,690GS2065,GS,200,200,100.00
20,53,692GS2039,GS,1000,1000,100.00
20,54,695GS2061,GS,13397,13397,100.00
20,55,698GR2054,GS,1000,1000,100.00
20,56,699GS2051,GS,5061,5059,99.96
20,57,702GS2027,GS,6000,6000,100.00
20,58,702GS2031,GS,100,100,100.00
20,59,704GS2029,GS,8400,8200,97.62
20,60,706GS2028,GS,1851,1851,100.00
20,61,709GS2054,GS,3431,3421,99.71
20,62,709GS2074,GS,500,500,100.00
20,63,710GS2029,GS,1500,1500,100.00
20,64,717GS2030,GS,5000,5000,100.00
20,65,718GS2037,GS,141800,141800,100.00
20,66,719GS2060,GS,44,44,100.00
20,67,725GS2063,GS,30102,30102,100.00
20,68,726GS2032,GS,3455,3455,100.00
20,69,729IRFC26,NN,822,72,8.76
20,70,729NHAI26,NC,705,386,54.75
20,71,732GS2030,GS,200,200,100.00
20,72,732IRFC25,NI,10,9,90.00
20,73,733GS2026,GS,11340,11340,100.00
20,74,734GS2064,GS,8062,8062,100.00
20,75,736GS2052,GS,1433,1433,100.00
20,76,736NTPC25D,NB,61,61,100.00
20,77,737GR2054,GS,100,100,100.00
20,78,737GS2028,GS,302,302,100.00
20,79,738GS2027,GS,21649,21428,98.98
20,80,738REC27TF,N2,2,2,100.00
20,81,739NHAI26,N8,533,521,97.75
20,82,739NHAI31A,ND,40,40,100.00
20,83,741GS2036,GS,2194,1834,83.59
20,84,74GS2062,GS,5,5,100.00
20,85,750IRFC35,NK,1478,1361,92.08
20,86,751HUDCO28,N5,25,25,100.00
20,87,753IRFC30,NJ,1,1,100.00
20,88,754GS2036,GS,492973,460128,93.34
20,89,757GS2033,GS,1100,1100,100.00
20,90,760PFCL35,N3,70,70,100.00
20,91,762NTPC35F,ND,546,462,84.62
20,92,764HUDCO31,N8,1,1,100.00
20,93,764IRFC31,NO,1003,1003,100.00
20,94,764NABAR31,N2,365,359,98.36
20,95,769GS2043,GS,1536,1536,100.00
20,96,769HUDCO31,N9,26,26,100.00
20,97,769NHAI31,NE,1405,1154,82.14
20,98,76NHAI31,NA,1652,1135,68.70
20,99,772GS2049,GS,2,1,50.00
20,100,774IREDA31,N7,844,572,67.77
20,101,79NHIT35,N1,2120,2120,100.00
20,102,79NHIT47,N3,304,304,100.00
20,103,802WB37,SG,100,100,100.00
20,104,810IRFC27,N2,5073,5073,100.00
20,105,828GS2032,GS,1,1,100.00
20,106,82HUDCO27,N2,101,65,64.36
20,107,82IGT31,NJ,17,17,100.00
20,108,830NHAI27,N2,811,811,100.00
20,109,835IFL25,NV,10,10,100.00
20,110,842IIFL26,NL,2684,2634,98.14
20,111,850NHAI29,N5,965,965,100.00
20,112,85IFL26,NX,8,8,100.00
20,113,862REC33,NA,50,50,100.00
20,114,863NHB34,N3,23,23,100.00
20,115,865IFL28,NZ,50,50,100.00
20,116,865IIFL28,NS,746,746,100.00
20,117,865IRFC29,NA,442,235,53.17
20,118,865NHB34,N4,25,25,100.00
20,119,865TCAPS27,N8,300,200,66.67
20,120,867NHPC33,N3,150,150,100.00
20,121,871REC28,N9,658,329,50.00
20,122,875IIFL26,NM,2,1,50.00
20,123,875IIFL26A,NQ,320,270,84.38
20,124,875NHAI29,N6,3306,3305,99.97
20,125,876HUDCO28,ND,820,400,48.78
20,126,885MOFSL26,N0,100,100,100.00
20,127,885TCAPS29,NC,45,25,55.56
20,128,888ERFL28,N5,77,76,98.70
20,129,888IRFC29,NE,435,435,100.00
20,130,888REC29,NF,100,100,100.00
20,131,890NHB34,N7,103,88,85.44
20,132,891IIFCL34,N4,139,139,100.00
20,133,892NHPC33,N6,300,300,100.00
20,134,892PFCL33,N8,1101,1101,100.00
20,135,897GS2030,GS,800,800,100.00
20,136,898LTF29,N7,1,1,100.00
20,137,901HUDCO34,NE,1347,1247,92.58
20,138,901NHB34,N6,201,201,100.00
20,139,910TCAP28,NA,175,125,71.43
20,140,91D010825,TB,6000,6000,100.00
20,141,91D050625,TB,100,100,100.00
20,142,91D070825,TB,1400,1400,100.00
20,143,91D110725,TB,100,100,100.00
20,144,91D120625,TB,200,200,100.00
20,145,91D190625,TB,1000,1000,100.00
20,146,91D240725,TB,1700,1700,100.00
20,147,91D300525,TB,200,200,100.00
20,148,91MOFSL27,N2,45,45,100.00
20,149,920PEL28,N2,10,10,100.00
20,150,921ISFL25,N0,2,2,100.00
20,151,925SCL26W,N1,85,50,58.82
20,152,925SCL27B,N1,1,1,100.00
20,153,925SCL28C,BS,4,4,100.00
20,154,92SFIL28,ND,449,449,100.00
20,155,930APMD27,N0,3,3,100.00
20,156,930APMD28,N0,5,5,100.00
20,157,930APMD31,N0,5,5,100.00
20,158,930APMD35,N0,26,26,100.00
20,159,930SFL28,YP,5,5,100.00
20,160,931SFL26,Z5,45,35,77.78
20,161,935IIFL28,NZ,5,5,100.00
20,162,935LTF29,N5,45,45,100.00
20,163,935TSIIC33,N0,11,11,100.00
20,164,943ECL28,NJ,15,10,66.67
20,165,94SFL28,YL,414,287,69.32
20,166,957ICCL25,YW,100,100,100.00
20,167,957ISFL26,N2,60,60,100.00
20,168,965AEL27,N4,235,235,100.00
20,169,965SCL25B,Y1,37,37,100.00
20,170,965SCL25E,BF,5,5,100.00
20,171,965SCL26,YO,160,160,100.00
20,172,965SCL26F,N1,51,51,100.00
20,173,96IIFL28,N5,470,470,100.00
20,174,96IIFL28A,NF,488,483,98.98
20,175,970CAGL28,ND,5365,5365,100.00
20,176,971SCL29,Z0,24,24,100.00
20,177,97SFL29,YZ,439,439,100.00
20,178,990SCL26,N7,39,39,100.00
20,179,9IIFL28A,NT,481,481,100.00
20,180,9MMFSML,N2,52,52,100.00
20,181,9SCL26BA,NA,239,239,100.00
20,182,A2ZINFRA,EQ,1299582,605425,46.59
20,183,AAATECH,EQ,32502,22750,70.00
20,184,AADHARHFC,EQ,391516,206777,52.81
20,185,AAKASH,EQ,95839,69520,72.54
20,186,AAREYDRUGS,EQ,49068,25647,52.27
20,187,AARON,EQ,9370,4761,50.81
20,188,AARTECH,EQ,366307,128082,34.97
20,189,AARTIDRUGS,EQ,116752,46039,39.43
20,190,AARTIIND,EQ,752133,297261,39.52
20,191,AARTIPHARM,EQ,244110,104920,42.98
20,192,AARTISURF,EQ,19212,8577,44.64
20,193,AARTISURF,P1,1,1,100.00
20,194,AARVI,EQ,4938,2069,41.90
20,195,AAVAS,EQ,30161,15084,50.01
20,196,ABB,EQ,208138,84216,40.46
20,197,ABBOTINDIA,EQ,4657,2617,56.19
20,198,ABCAPITAL,EQ,3115864,1311175,42.08
20,199,ABCL26,N3,79,79,100.00
20,200,ABDL,EQ,345747,170937,49.44
20,201,ABFRL,EQ,18904729,8966941,47.43
20,202,ABGSEC,EQ,927,907,97.84
20,203,ABMINTLLTD,EQ,818,599,73.23
20,204,ABREL,EQ,80518,40474,50.27
20,205,ABSLAMC,EQ,134488,62618,46.56
20,206,ABSLBANETF,EQ,205734,151799,73.78
20,207,ABSLLIQUID,EQ,1855,1823,98.27
20,208,ABSLNN50ET,EQ,4252,3230,75.96
20,209,ABSLPSE,EQ,332081,237455,71.51
20,210,ABSMARINE,ST,37000,37000,100.00
20,211,ACC,EQ,320904,156507,48.77
20,212,ACCELYA,EQ,8691,5276,60.71
20,213,ACCENTMIC,SM,117500,80000,68.09
20,214,ACCPL,ST,27600,27600,100.00
20,215,ACCURACY,EQ,330039,147483,44.69
20,216,ACE,EQ,253231,108144,42.71
20,217,ACEINTEG,EQ,7551,5378,71.22
20,218,ACI,EQ,223786,81636,36.48
20,219,ACL,EQ,30708,19522,63.57
20,220,ACLGATI,EQ,224671,96004,42.73
20,221,ACMESOLAR,EQ,1037985,429983,41.42
20,222,ACTIVEINFR,SM,2400,2400,100.00
20,223,ADANIENSOL,EQ,816889,244829,29.97
20,224,ADANIENT,EQ,968415,306093,31.61
20,225,ADANIGREEN,EQ,2538927,582065,22.93
20,226,ADANIPORTS,EQ,1715309,881119,51.37
20,227,ADANIPOWER,EQ,2405370,561310,23.34
20,228,ADFFOODS,EQ,93613,39604,42.31
20,229,ADOR,EQ,15622,7952,50.90
20,230,ADROITINFO,EQ,70150,38099,54.31
20,231,ADSL,EQ,552291,183025,33.14
20,232,ADVANIHOTR,EQ,60511,33432,55.25
20,233,ADVENZYMES,EQ,98475,41704,42.35
20,234,AEGISLOG,EQ,882771,346279,39.23
20,235,AEROFLEX,EQ,288035,128624,44.66
20,236,AERON,SM,15000,11000,73.33
20,237,AESTHETIK,SM,8000,8000,100.00
20,238,AETHER,EQ,172410,104289,60.49
20,239,AFCONS,EQ,499814,315638,63.15
20,240,AFFLE,EQ,863441,231242,26.78
20,241,AFFORDABLE,EQ,24660,14660,59.45
20,242,AFIL,EQ,1683636,892226,52.99
20,243,AFSL,EQ,75950,68124,89.70
20,244,AGARIND,EQ,34223,22593,66.02
20,245,AGARWALEYE,EQ,319167,186121,58.31
20,246,AGARWALTUF,ST,58800,42000,71.43
20,247,AGI,EQ,74382,34377,46.22
20,248,AGIIL,EQ,60163,40334,67.04
20,249,AGNI,ST,7500,7500,100.00
20,250,AGRITECH,EQ,7763,4462,57.48
20,251,AGROPHOS,EQ,28458,21563,75.77
20,252,AGUL,SM,8000,6000,75.00
20,253,AHLADA,EQ,14805,10264,69.33
20,254,AHLEAST,EQ,3282,2461,74.98
20,255,AHLUCONT,EQ,16168,9153,56.61
20,256,AIAENG,EQ,377667,215071,56.95
20,257,AIIL,EQ,95262,34809,36.54
20,258,AIMTRON,SM,14400,10400,72.22
20,259,AIRAN,EQ,117248,89927,76.70
20,260,AIROLAM,EQ,19678,8614,43.77
20,261,AIRTELPP,E1,67519,45996,68.12
20,262,AJANTPHARM,EQ,26249,13923,53.04
20,263,AJAXENGG,EQ,219462,119635,54.51
20,264,AJMERA,EQ,26425,11800,44.65
20,265,AJOONI,EQ,666781,331788,49.76
20,266,AKASH,EQ,19202,4258,22.17
20,267,AKG,EQ,726473,166863,22.97
20,268,AKIKO,SM,17600,14400,81.82
20,269,AKSHARCHEM,EQ,9885,5863,59.31
20,270,AKUMS,EQ,183288,72194,39.39
20,271,AKZOINDIA,EQ,5788,3815,65.91
20,272,ALANKIT,EQ,302322,168881,55.86
20,273,ALBERTDAVD,EQ,3422,1960,57.28
20,274,ALEMBICLTD,EQ,398056,177230,44.52
20,275,ALICON,EQ,56377,14538,25.79
20,276,ALIVUS,EQ,45410,20218,44.52
20,277,ALKALI,EQ,26595,15957,60.00
20,278,ALKEM,EQ,79856,35125,43.99
20,279,ALKYLAMINE,EQ,108831,48689,44.74
20,280,ALLCARGO,EQ,4181287,1741353,41.65
20,281,ALLDIGI,EQ,6544,3194,48.81
20,282,ALLETEC,SM,76800,48400,63.02
20,283,ALMONDZ,EQ,168309,88174,52.39
20,284,ALOKINDS,EQ,4750432,1783019,37.53
20,285,ALPA,EQ,24522,15787,64.38
20,286,ALPEXSOLAR,SM,286000,188800,66.01
20,287,ALPHA,EQ,1261832,896201,71.02
20,288,ALPHAETF,EQ,284628,182364,64.07
20,289,ALPL30IETF,EQ,201295,98979,49.17
20,290,ALUWIND,SM,31500,30000,95.24
20,291,AMBER,EQ,259514,103433,39.86
20,292,AMBICAAGAR,EQ,19202,13143,68.45
20,293,AMBIKCO,EQ,8832,5971,67.61
