Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15122025,1580955703,0003079
Trade Date <15-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,10,10,100.00
20,2,1003ISFL28,N4,5,5,100.00
20,3,1015ECL29,NR,64,64,100.00
20,4,1015UCL27,NF,2,2,100.00
20,5,1018GS2026,GS,3234,3214,99.38
20,6,1025UCL26A,N1,48,48,100.00
20,7,1030SFIL28,NM,10,10,100.00
20,8,1040NFL26,NA,5,5,100.00
20,9,1040UCL27B,N1,213,213,100.00
20,10,1050ISFL28,N5,146,146,100.00
20,11,1050NFL26,N7,1,1,100.00
20,12,1060ECL29,NS,50,50,100.00
20,13,1065NFL27,NC,33,23,69.70
20,14,1075SCL34,ZR,10,10,100.00
20,15,1075SCL34C,N1,60,60,100.00
20,16,1075SCL35,N1,10,10,100.00
20,17,1075WCA28,N0,2,2,100.00
20,18,10CAGL27,N5,321,321,100.00
20,19,10IFSL26,N7,44,44,100.00
20,20,10IIFL28,N4,281,281,100.00
20,21,10IIFL28A,NE,286,261,91.26
20,22,1119NFL27,ND,10,5,50.00
20,23,118VCCL27B,N0,14,14,100.00
20,24,119VCCL26,N0,1,1,100.00
20,25,11UCL26,NC,1,1,100.00
20,26,12AFIL27A,N0,8,8,100.00
20,27,12AFIL28,N0,3,3,100.00
20,28,20MICRONS,EQ,55790,31094,55.73
20,29,21STCENMGM,EQ,9574,8345,87.16
20,30,360ONE,EQ,1417718,191552,13.51
20,31,364D070526,TB,7300,7300,100.00
20,32,364D100426,TB,15300,15300,100.00
20,33,364D180626,TB,3000,3000,100.00
20,34,364D220126,TB,2000,2000,100.00
20,35,364D261225,TB,1000,1000,100.00
20,36,364D291026,TB,200,100,50.00
20,37,3IINFOLTD,EQ,277962,193087,69.47
20,38,3MINDIA,EQ,2096,937,44.70
20,39,3PLAND,EQ,9518,6135,64.46
20,40,577GS2030,GS,2,2,100.00
20,41,591GS2028,GS,53201,50200,94.36
20,42,5PAISA,EQ,69579,22694,32.62
20,43,610GS2031,GS,4,2,50.00
20,44,63MOONS,EQ,128811,52268,40.58
20,45,648GS2035,GS,2600,2300,88.46
20,46,664GS2027,GS,400,400,100.00
20,47,667GS2035,GS,15030,10000,66.53
20,48,667GS2050,GS,701,701,100.00
20,49,672MH38,SG,100,100,100.00
20,50,676GS2061,GS,2,1,50.00
20,51,679GS2031,GS,1200,1000,83.33
20,52,679GS2034,GS,100,100,100.00
20,53,679GS2034A,GS,100,100,100.00
20,54,68GS2060,GS,953,953,100.00
20,55,690GS2065,GS,51072,50971,99.80
20,56,692GS2039,GS,15251,14249,93.43
20,57,695GS2061,GS,7790,7790,100.00
20,58,698GR2054,GS,1515,1015,67.00
20,59,699GS2026,GS,8864,8864,100.00
20,60,699GS2051,GS,4049,4049,100.00
20,61,702GS2027,GS,14227,13176,92.61
20,62,704GS2029,GS,600,600,100.00
20,63,704REC28,N4,50,50,100.00
20,64,709GS2054,GS,15957,15338,96.12
20,65,709GS2074,GS,25669,23415,91.22
20,66,713MH37,SG,200,200,100.00
20,67,718GS2033,GS,2,1,50.00
20,68,718GS2037,GS,15782,11082,70.22
20,69,71MH33,SG,200,200,100.00
20,70,71WB50,SG,100,100,100.00
20,71,723GS2039,GS,100,100,100.00
20,72,724GS2055,GS,16484,16484,100.00
20,73,725GS2063,GS,101100,101100,100.00
20,74,726GS2032,GS,2,2,100.00
20,75,729IRFC26,NN,117,117,100.00
20,76,732GS2030,GS,1800,1800,100.00
20,77,733GS2026,GS,5200,5200,100.00
20,78,734GS2064,GS,65387,61387,93.88
20,79,737GS2028,GS,2100,2100,100.00
20,80,738GS2027,GS,21437,21437,100.00
20,81,738REC27TF,N2,50,50,100.00
20,82,739NHAI26,N8,256,256,100.00
20,83,73GS2053,GS,4192,4192,100.00
20,84,741GS2036,GS,9300,9300,100.00
20,85,744KL50,SG,100,100,100.00
20,86,746GS2073,GS,39993,39993,100.00
20,87,749MH36,SG,200,200,100.00
20,88,74GS2062,GS,100,100,100.00
20,89,751HUDCO28,N5,200,200,100.00
20,90,753IRFC30,NJ,1839,1630,88.64
20,91,754GS2036,GS,245565,241414,98.31
20,92,758GJ32,SG,100,100,100.00
20,93,759GS2026,GS,4,2,50.00
20,94,760PFCL35,N3,40,40,100.00
20,95,762NTPC35F,ND,194,194,100.00
20,96,764HUDCO31,N8,525,525,100.00
20,97,764IRFC31,NO,306,306,100.00
20,98,769HUDCO31,N9,2265,1965,86.75
