Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,10122025,1580903667,0003063
Trade Date <10-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,20,14,70.00
20,2,1003IIFL29,NC,40,20,50.00
20,3,1003ISFL28,N4,113,113,100.00
20,4,1015ECL29,NR,400,400,100.00
20,5,1018GS2026,GS,35230,30030,85.24
20,6,1025SCL34,Z8,10,10,100.00
20,7,1030SFIL28,NM,40,40,100.00
20,8,1035UCL26,NA,117,92,78.63
20,9,1040NFL26,NA,109,109,100.00
20,10,1050NFL26,N7,40,40,100.00
20,11,1050SCL31,ZP,5,5,100.00
20,12,1050UCL28,NH,112,87,77.68
20,13,1065NFL27,NC,50,50,100.00
20,14,1075SCL35,N1,10,10,100.00
20,15,10CAGL27,N5,50,50,100.00
20,16,10IIFL28,N4,218,218,100.00
20,17,10IIFL28A,NE,540,540,100.00
20,18,10IIFL29,N6,106,106,100.00
20,19,10NIDO26,N6,407,405,99.51
20,20,10UCL26,ND,15,15,100.00
20,21,1102NFL26,N8,10,10,100.00
20,22,118VCCL27B,N0,21,21,100.00
20,23,12AFIL27A,N0,2,2,100.00
20,24,12VCCL29A,N0,1,1,100.00
20,25,182D240426,TB,200,100,50.00
20,26,182D300426,TB,100,100,100.00
20,27,20MICRONS,EQ,33413,13125,39.28
20,28,21STCENMGM,EQ,1413,1366,96.67
20,29,360ONE,EQ,413626,247669,59.88
20,30,364D031226,TB,100,100,100.00
20,31,364D040626,TB,100,100,100.00
20,32,364D070526,TB,7300,7300,100.00
20,33,364D180626,TB,3000,3000,100.00
20,34,364D200826,TB,400,400,100.00
20,35,364D261126,TB,900,900,100.00
20,36,364D270226,TB,100,100,100.00
20,37,3IINFOLTD,EQ,366659,217220,59.24
20,38,3MINDIA,EQ,2616,1007,38.49
20,39,3PLAND,EQ,4725,4617,97.71
20,40,563GS2026,GS,3,3,100.00
20,41,574GS2026,GS,500,500,100.00
20,42,577GS2030,GS,100,100,100.00
20,43,591GS2028,GS,600,600,100.00
20,44,5PAISA,EQ,48923,12413,25.37
20,45,633GS2035,GS,201,201,100.00
20,46,63MOONS,EQ,148522,47614,32.06
20,47,648GS2035,GS,409,409,100.00
20,48,654GS2032,GS,10390,10390,100.00
20,49,667GS2050,GS,101678,101678,100.00
20,50,676GS2061,GS,10734,10534,98.14
20,51,679GS2031,GS,400,400,100.00
20,52,68GS2060,GS,10,10,100.00
20,53,690GS2065,GS,127367,108867,85.48
20,54,695GS2061,GS,30,30,100.00
20,55,698GR2054,GS,200,200,100.00
20,56,699GS2026,GS,20,10,50.00
20,57,699GS2051,GS,253,253,100.00
20,58,702GS2027,GS,1149,1148,99.91
20,59,702GS2031,GS,100,100,100.00
20,60,706GS2028,GS,11100,11100,100.00
20,61,709GS2054,GS,800,800,100.00
20,62,709GS2074,GS,361897,262219,72.46
20,63,710GS2029,GS,16000,15500,96.88
20,64,716GS2050,GS,1,1,100.00
20,65,717GS2030,GS,700,700,100.00
20,66,718GS2033,GS,164,161,98.17
20,67,718GS2037,GS,600,500,83.33
20,68,719PN37,SG,5000,5000,100.00
20,69,723GS2039,GS,1100,1100,100.00
20,70,724GS2055,GS,27452,27452,100.00
20,71,725GS2063,GS,125507,124462,99.17
20,72,727GS2026,GS,1,1,100.00
20,73,729NHAI26,NC,1501,1491,99.33
20,74,732GS2030,GS,600,600,100.00
20,75,733GS2026,GS,1202,1202,100.00
20,76,734GS2064,GS,89195,64923,72.79
20,77,736GS2052,GS,2852,2852,100.00
