Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22122025,1878536693,0003127
Trade Date <22-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,2,1,50.00
20,2,0MOFSL27,N3,2,1,50.00
20,3,1003ISFL28,N4,50,50,100.00
20,4,1003SCL30A,NV,110,110,100.00
20,5,1015UCL26,N1,100,100,100.00
20,6,1015UCL27,NF,10,10,100.00
20,7,1018GS2026,GS,226,225,99.56
20,8,1025IIFL30,Y3,80,80,100.00
20,9,1025PATE28,N0,2,2,100.00
20,10,1025SCL34A,ZT,366,366,100.00
20,11,1025UCL26A,N1,99,99,100.00
20,12,1030SFIL28,NM,20,20,100.00
20,13,1035UCL26,NA,25,20,80.00
20,14,1040NFL26,NA,21,21,100.00
20,15,1040UCL27B,N1,7,7,100.00
20,16,1050IIFL29,ND,4,4,100.00
20,17,1050ISFL28,N5,3210,3210,100.00
20,18,1050NFL26,N7,51,51,100.00
20,19,1050UCL28,NH,88,88,100.00
20,20,105IIFL29,N7,130,130,100.00
20,21,1060ECL29,NS,1378,961,69.74
20,22,1065NFL27,NC,25,25,100.00
20,23,10IIFL28,N4,12,12,100.00
20,24,10IIFL28A,NE,878,878,100.00
20,25,1119NFL27,ND,10,10,100.00
20,26,111ESFB31,N0,3,3,100.00
20,27,118VCCL27B,N0,43,43,100.00
20,28,119VCCL26,N0,1,1,100.00
20,29,12AFIL27,N0,2,2,100.00
20,30,12AFIL27A,N0,1,1,100.00
20,31,12AFIL28,N0,2,2,100.00
20,32,12VCCL27,N0,1,1,100.00
20,33,12VCCL29B,N0,3,3,100.00
20,34,12VCCL29C,N0,2,2,100.00
20,35,182D180626,TB,100,100,100.00
20,36,182D260326,TB,200,100,50.00
20,37,20MICRONS,EQ,56691,33402,58.92
20,38,21STCENMGM,EQ,6330,6322,99.87
20,39,360ONE,EQ,332048,122907,37.01
20,40,364D060826,TB,10000,10000,100.00
20,41,364D110626,TB,100,100,100.00
20,42,364D130826,TB,8100,8000,98.77
20,43,364D280826,TB,100,100,100.00
20,44,364D290126,TB,1000,1000,100.00
20,45,3IINFOLTD,EQ,628371,373814,59.49
20,46,3MINDIA,EQ,2391,1327,55.50
20,47,3PLAND,EQ,5156,3554,68.93
20,48,579GS2030,GS,100,100,100.00
20,49,5PAISA,EQ,84446,31529,37.34
20,50,601GS2030,GS,50401,50400,100.00
20,51,610GS2031,GS,4,4,100.00
20,52,633GS2035,GS,1901,1901,100.00
20,53,63MOONS,EQ,69604,36634,52.63
20,54,648GS2035,GS,102,102,100.00
20,55,664GS2027,GS,301,300,99.67
20,56,664GS2035,GS,50,50,100.00
20,57,667GS2050,GS,78591,78393,99.75
20,58,668GS2040,GS,1846,1846,100.00
20,59,676GS2061,GS,2519,2119,84.12
20,60,679GS2034,GS,500,500,100.00
20,61,679GS2034A,GS,100,100,100.00
20,62,68GS2060,GS,594,594,100.00
20,63,690GS2065,GS,9234,7012,75.94
20,64,695GS2061,GS,32909,32809,99.70
20,65,697GR2034,GS,100,100,100.00
20,66,698GR2054,GS,771,771,100.00
20,67,699GS2026,GS,100,100,100.00
20,68,699GS2051,GS,5360,4360,81.34
20,69,702GS2027,GS,3569,3169,88.79
20,70,704GS2029,GS,500,500,100.00
20,71,704REC28,N4,40,40,100.00
20,72,706GS2028,GS,8000,8000,100.00
20,73,706GS2046,GS,1000,1000,100.00
20,74,709GS2054,GS,12048,11048,91.70
20,75,709GS2074,GS,123952,123793,99.87
20,76,710GS2029,GS,7227,7227,100.00
20,77,717GS2030,GS,21000,21000,100.00
20,78,718GS2037,GS,3501,3501,100.00
20,79,71GS2034,GS,100,100,100.00
20,80,71MH33,SG,100,100,100.00
20,81,723GS2039,GS,2010,2000,99.50
20,82,724GS2055,GS,5570,5560,99.82
20,83,725GS2063,GS,88748,88748,100.00
20,84,726GS2032,GS,5174,5173,99.98
20,85,729IRFC26,NN,49,49,100.00
20,86,729NHAI26,NC,6,6,100.00
20,87,732GS2030,GS,4100,4100,100.00
20,88,733GS2026,GS,700,700,100.00
20,89,734GS2064,GS,105638,105617,99.98
20,90,735NHAI31,N9,925,511,55.24
20,91,737GR2054,GS,1401,1401,100.00
20,92,737GS2028,GS,1100,1100,100.00
20,93,738GS2027,GS,182609,166909,91.40
20,94,738REC27TF,N2,50,50,100.00
20,95,739NHAI26,N8,15,15,100.00
20,96,739NHAI31A,ND,20,20,100.00
20,97,73GS2053,GS,88752,88602,99.83
20,98,741GS2036,GS,10390,10390,100.00
20,99,743REC35,NH,153,103,67.32
20,100,746GS2073,GS,2796,2796,100.00
20,101,746TS49,SG,500,500,100.00
20,102,74GS2062,GS,1448,1000,69.06
20,103,750IRFC35,NK,42,42,100.00
20,104,751HUDCO28,N5,618,618,100.00
20,105,753IRFC30,NJ,139,139,100.00
20,106,754GS2036,GS,990683,954794,96.38
20,107,759GS2026,GS,1,1,100.00
20,108,760PFCL35,N3,10,10,100.00
20,109,762NTPC35F,ND,157,157,100.00
20,110,764HUDCO31,N8,1207,1089,90.22
20,111,764IRFC31,NO,103,103,100.00
20,112,764NABAR31,N2,1555,880,56.59
20,113,769GS2043,GS,3269,3269,100.00
20,114,769HUDCO31,N9,288,287,99.65
20,115,769NHAI31,NE,1554,1490,95.88
20,116,76NHAI31,NA,382,382,100.00
20,117,772GS2049,GS,5,5,100.00
20,118,772GS2055,GS,1,1,100.00
20,119,774IREDA31,N7,55,55,100.00
20,120,776KL38,SG,100,100,100.00
20,121,77PN40,SG,100,100,100.00
20,122,797IGT31,NL,641,420,65.52
20,123,79NHIT35,N1,3498,2947,84.25
20,124,79NHIT40,N2,20,20,100.00
20,125,79NHIT47,N3,380,380,100.00
20,126,812REC27,NI,450,450,100.00
20,127,81ABCL33,N4,10,10,100.00
20,128,81TCHF28,N8,150,150,100.00
20,129,820IIFL27,N9,245,245,100.00
20,130,828GS2027,GS,401,301,75.06
20,131,82HUDCO27,N2,1337,1337,100.00
20,132,82IGT31,NJ,380,370,97.37
20,133,830NHAI27,N2,2425,2040,84.12
20,134,830PFCL27,N5,490,490,100.00
20,135,840CIFCL28,N4,20,10,50.00
20,136,842IIFL26,NL,522,446,85.44
20,137,843IHFL29,NC,300,300,100.00
20,138,85CIFC27,NL,10,5,50.00
20,139,85IFL26,NX,50,50,100.00
20,140,863IRFC29,NC,120,120,100.00
20,141,865IFL28,NZ,50,50,100.00
20,142,865IRFC29,NA,225,225,100.00
20,143,865SCL27,N4,35,35,100.00
20,144,865TCAPS27,N8,50,50,100.00
20,145,866NTPC33,N3,40,40,100.00
20,146,871REC28,N9,1870,1415,75.67
20,147,872MMFSL26,N1,31,31,100.00
20,148,873NTPC28,N5,538,358,66.54
20,149,875IIFL26A,NQ,536,526,98.13
20,150,875NHAI29,N6,270,187,69.26
20,151,875SFL27,ZF,25,25,100.00
20,152,876HUDCO28,ND,95,95,100.00
20,153,87LTF27,NH,10,10,100.00
20,154,880IREDA29,N5,75,75,100.00
20,155,883GS2041,GS,838,838,100.00
20,156,888ECL28,N1,101,101,100.00
20,157,888IRFC29,NE,107,72,67.29
20,158,889SCL27,YT,19,19,100.00
20,159,890NHB34,N7,26,26,100.00
20,160,890SFIL23A,NZ,100,100,100.00
20,161,891NTPC33,N6,602,550,91.36
20,162,892PFCL33,N8,303,299,98.68
20,163,893NHB29,N6,17,17,100.00
20,164,895AEL27,N9,50,30,60.00
20,165,897GS2030,GS,518,518,100.00
20,166,897MOFSL29,N4,295,295,100.00
20,167,8SMC29,N1,55,55,100.00
20,168,901HUDCO34,NE,207,160,77.29
20,169,901NHB34,N6,718,473,65.88
20,170,902SCL28,N1,200,200,100.00
20,171,903SFL28,YI,20,20,100.00
20,172,910TCAP28,NA,400,400,100.00
20,173,915AEL28,NC,591,398,67.34
20,174,915APSBC26,N0,60,60,100.00
20,175,915APSBC30,N0,6,6,100.00
20,176,915APSBC31,N0,5,5,100.00
20,177,915APSBC35,N0,2,2,100.00
20,178,915SCL26,NE,55,55,100.00
20,179,91D020126,TB,500,500,100.00
20,180,91D050326,TB,10000,10000,100.00
20,181,91D080126,TB,600,600,100.00
20,182,91D120226,TB,1600,1600,100.00
20,183,91D190326,TB,23500,20500,87.23
20,184,91D260226,TB,1800,1800,100.00
20,185,91D290126,TB,1200,1200,100.00
20,186,925SCL26W,N1,143,143,100.00
20,187,925SCL27B,N1,10,10,100.00
20,188,92GS2030,GS,5227,5005,95.75
20,189,930AEL30,NF,219,185,84.47
20,190,930APMD28,N0,1,1,100.00
20,191,930APMD30,N0,2,2,100.00
20,192,930APMD33,N0,2,2,100.00
20,193,930APMD34,N0,1,1,100.00
20,194,930APMD35,N0,2,2,100.00
20,195,930SFL28,YP,34,34,100.00
20,196,931SFL26,Z5,105,105,100.00
20,197,935MOFSL29,N5,2,1,50.00
20,198,93MOFSL34,N6,799,440,55.07
20,199,948SCL26I,AX,31,31,100.00
20,200,950ISF27C,N0,28,28,100.00
20,201,956AEL29,N6,201,201,100.00
20,202,957ISFL26,N2,238,155,65.13
20,203,957NIDO26,N5,52,26,50.00
20,204,960IIFL30,Y2,136,136,100.00
20,205,965AEL27,N4,31,31,100.00
20,206,965SCL25F,NZ,314,265,84.39
20,207,96IIFL28,N5,474,474,100.00
20,208,96IIFL28A,NF,818,808,98.78
20,209,970CAGL28,ND,127,127,100.00
20,210,971SCL28,AN,25,25,100.00
20,211,971SCL28A,NT,35,35,100.00
20,212,971SCL29A,ZN,20,10,50.00
20,213,975IIFL28,Y0,50,50,100.00
20,214,975ISF28,N0,6,6,100.00
20,215,97MOFSL34,N7,97,49,50.52
20,216,97SFL28,YS,747,707,94.65
20,217,97SFL29,YZ,50,50,100.00
20,218,985ECL28,NK,1,1,100.00
20,219,990SCL27,YT,50,50,100.00
