Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23072025,1284546307,0002744
Trade Date <23-JUL-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,10,10,100.00
20,2,1003ISFL28,N4,1321,1167,88.34
20,3,1015ECL29,NR,718,718,100.00
20,4,1015SCL28A,AL,60,24,40.00
20,5,1015UCL26,N1,29,29,100.00
20,6,1015UCL27,NF,1,1,100.00
20,7,1018GS2026,GS,6230,5000,80.26
20,8,1025NFL25,N5,5,5,100.00
20,9,1025SCL34B,N1,22,22,100.00
20,10,1025SCL35A,N1,3,3,100.00
20,11,1030SFIL26,NJ,94,50,53.19
20,12,1040NFL26,NA,10,10,100.00
20,13,1050NFL26,N7,24,24,100.00
20,14,1050UCL25,N7,93,93,100.00
20,15,1075SCL35,N1,5,5,100.00
20,16,1075UCL25,N9,35,35,100.00
20,17,10IIFL28,N4,675,675,100.00
20,18,10IIFL28A,NE,428,428,100.00
20,19,10NFL25,N9,201,201,100.00
20,20,10NIDO26,N6,126,126,100.00
20,21,10UCL26,ND,120,80,66.67
20,22,12VCCL29B,N0,1,1,100.00
20,23,182D021025,TB,5000,5000,100.00
20,24,182D150126,TB,300,300,100.00
20,25,20MICRONS,EQ,728200,215890,29.65
20,26,21STCENMGM,EQ,3135,2308,73.62
20,27,360ONE,EQ,1356863,710155,52.34
20,28,364D160726,TB,400,400,100.00
20,29,364D280825,TB,30000,30000,100.00
20,30,364D290126,TB,2000,2000,100.00
20,31,364D310725,TB,9600,9500,98.96
20,32,3IINFOLTD,EQ,430481,223189,51.85
20,33,3MINDIA,EQ,13387,6805,50.83
20,34,3PLAND,EQ,4671,3450,73.86
20,35,563GS2026,GS,105,35,33.33
20,36,585GS2030,GS,1,1,100.00
20,37,5PAISA,EQ,13818,8151,58.99
20,38,63MOONS,EQ,223604,98455,44.03
20,39,654GS2032,GS,39250,39250,100.00
20,40,675GS2029,GS,400,300,75.00
20,41,676GS2061,GS,19118,19118,100.00
20,42,679GS2031,GS,200,200,100.00
20,43,679GS2034,GS,40,40,100.00
20,44,68GS2060,GS,6513,6513,100.00
20,45,690GS2065,GS,96000,96000,100.00
20,46,697GR2034,GS,100,50,50.00
20,47,699GS2051,GS,250,250,100.00
20,48,702GS2027,GS,46,46,100.00
20,49,704GS2029,GS,2100,2100,100.00
20,50,706GS2028,GS,7202,7202,100.00
20,51,706GS2046,GS,7,7,100.00
20,52,709GS2054,GS,50307,50307,100.00
20,53,709GS2074,GS,250,250,100.00
20,54,710GS2029,GS,74,73,98.65
20,55,714NHAI26,N7,1,1,100.00
20,56,716GS2050,GS,345,345,100.00
20,57,717GS2030,GS,1700,1700,100.00
20,58,718GS2037,GS,38866,22366,57.55
20,59,71GS2034,GS,196900,196900,100.00
20,60,725GS2063,GS,124715,113615,91.10
20,61,727GS2026,GS,1,1,100.00
20,62,728IRFC30,NG,398,199,50.00
20,63,729IRFC26,NN,695,695,100.00
20,64,734GS2064,GS,10003,10003,100.00
20,65,737GS2028,GS,8210,8185,99.70
20,66,737NTPC35C,NA,314,314,100.00
20,67,738GS2027,GS,179541,179541,100.00
20,68,738REC27TF,N2,4000,4000,100.00
20,69,739NHAI31A,ND,40,40,100.00
20,70,741GS2036,GS,6700,3900,58.21
20,71,743REC35,NH,103,103,100.00
20,72,746GS2073,GS,33,33,100.00
20,73,74GS2062,GS,16650,16650,100.00
20,74,750IRFC35,NK,282,237,84.04
20,75,751HUDCO28,N5,22,22,100.00
20,76,753IRFC30,NJ,1,1,100.00
20,77,754GS2036,GS,805708,804613,99.86
20,78,754RJ33,SG,100,100,100.00
20,79,756TN53A,SG,100,100,100.00
20,80,757GS2033,GS,1001,1000,99.90
20,81,758GJ32,SG,100,100,100.00
20,82,759GS2026,GS,8,8,100.00
20,83,759TS37,SG,100,100,100.00
20,84,760PFCL35,N3,42,42,100.00
20,85,762GS2039,GS,200,200,100.00
20,86,762NTPC35F,ND,107,51,47.66
20,87,764HUDCO31,N8,156,156,100.00
20,88,764IRFC31,NO,110,105,95.45
20,89,764JK50,SG,200,200,100.00
20,90,764NABAR31,N2,1379,1350,97.90
20,91,765TN33,SG,200,100,50.00
20,92,767NL33B,SG,200,100,50.00
20,93,768KA37,SG,100,100,100.00
20,94,768UP34,SG,200,200,100.00
20,95,768UP34A,SG,200,100,50.00
20,96,769HUDCO31,N9,521,521,100.00
20,97,769IGT28,NH,100,100,100.00
20,98,769NHAI31,NE,1808,1206,66.70
20,99,76NHAI31,NA,2219,2216,99.86
20,100,772GS2055,GS,78,44,56.41
20,101,772TS36,SG,400,400,100.00
20,102,773BR38,SG,100,100,100.00
20,103,773KA35,SG,500,400,80.00
20,104,773KA36,SG,100,100,100.00
20,105,773UP35,SG,200,100,50.00
20,106,774IREDA31,N7,500,500,100.00
20,107,775GA33,SG,100,100,100.00
20,108,775TS37,SG,100,100,100.00
20,109,776MP37,SG,100,100,100.00
20,110,777PN33,SG,500,500,100.00
20,111,782PN42,SG,100,100,100.00
20,112,785WB42,SG,200,100,50.00
20,113,797IGT31,NL,5,5,100.00
20,114,79NHIT35,N1,8,8,100.00
20,115,79NHIT40,N2,2,2,100.00
20,116,79NHIT47,N3,430,428,99.53
20,117,810IRFC27,N2,199,199,100.00
20,118,820IIFL27,N9,8,8,100.00
20,119,82HUDCO27,N2,15,15,100.00
20,120,830NHAI27,N2,1363,1363,100.00
20,121,835SCL23B,YM,6,3,50.00
20,122,840CIFCL28,N4,4,4,100.00
20,123,842IIFL26,NL,766,760,99.22
20,124,843IHFL29,NC,40,40,100.00
20,125,846REC28,N6,5,5,100.00
20,126,848NTPC28,N2,500,500,100.00
20,127,84TCHF28,NA,284,250,88.03
20,128,855IREDA29,N2,800,800,100.00
20,129,865IIFL28,NS,656,518,78.96
20,130,865IRFC29,NA,2081,2081,100.00
20,131,865LTF26,NN,110,110,100.00
20,132,865SCL26,N8,175,175,100.00
20,133,865TCAPS27,N8,1071,970,90.57
20,134,871REC28,N9,2235,1750,78.30
20,135,872MMFSL26,N1,235,235,100.00
20,136,875IHFL29,ND,550,550,100.00
20,137,875NHAI29,N6,2050,2050,100.00
20,138,875SCL23A,YI,50,50,100.00
20,139,879SCL26,NC,6,3,50.00
20,140,885AEL28,NB,848,848,100.00
20,141,885SCL26,N9,92,92,100.00
20,142,888IHFL25F,NC,30,30,100.00
20,143,888IRFC29,NE,115,115,100.00
20,144,888REC29,NF,100,100,100.00
20,145,893NHB29,N6,102,102,100.00
20,146,895AEL27,N9,157,157,100.00
20,147,898LTF29,N7,76,38,50.00
20,148,901HUDCO34,NE,1046,968,92.54
20,149,901NHB34,N6,8,5,62.50
20,150,902SCL28,N1,502,302,60.16
20,151,905LTF27,NF,110,88,80.00
20,152,910CAGL25,N7,3,3,100.00
20,153,915AEL28,NC,3507,3296,93.98
20,154,915SCL26,NE,48,48,100.00
20,155,915SCL27A,ZL,40,40,100.00
20,156,91D010825,TB,1700,1100,64.71
20,157,91D110925,TB,300,300,100.00
20,158,925CAGL26,N9,25,25,100.00
20,159,925SCL27,YR,110,75,68.18
20,160,92GS2030,GS,9930,9915,99.85
20,161,92SFIL28,ND,50,50,100.00
20,162,930AEL30,NF,6785,6775,99.85
20,163,930APMD27,N0,2,2,100.00
20,164,930APMD28,N0,18,18,100.00
20,165,930APMD32,N0,41,41,100.00
20,166,930APMD35,N0,15,15,100.00
20,167,931SFL26,Z5,50,25,50.00
20,168,935IIFL28,NZ,20,20,100.00
20,169,935LTF29,N5,423,393,92.91
20,170,935PEL33,N3,905,870,96.13
20,171,935TSI29,N0,2,2,100.00
20,172,935TSI34,N0,70,70,100.00
20,173,935TSIIC28,N0,6,6,100.00
20,174,948SCL26A,NN,18,18,100.00
20,175,94SFL28,YL,50,50,100.00
20,176,956AEL29,N6,100,100,100.00
20,177,957ISFL26,N2,250,250,100.00
20,178,957NIDO26,N5,162,162,100.00
20,179,965AEL27,N4,3,3,100.00
20,180,965SCL25A,NF,8,8,100.00
20,181,965SCL25E,BF,150,150,100.00
20,182,965SCL26F,N1,241,220,91.29
20,183,96IIFL28,N5,1084,1084,100.00
20,184,96IIFL28A,NF,795,793,99.75
20,185,96SFIL24A,NB,75,75,100.00
20,186,970CAGL28,ND,90,90,100.00
20,187,971SCL29B,N1,25,25,100.00
20,188,980SCL33,NX,4,4,100.00
20,189,985ECL28,NK,326,256,78.53
20,190,98SCL27,ZX,3,3,100.00
20,191,990SCL26D,AH,2,2,100.00
20,192,990SCL26I,AV,30,10,33.33
20,193,99AEL29,N7,150,150,100.00
20,194,99SCL27,ZH,40,20,50.00
20,195,9AEL30,NE,2338,2038,87.17
20,196,9IIFL28,Y0,100,100,100.00
20,197,9IIFL28A,NT,627,627,100.00
20,198,9PCHFL31A,NA,335,310,92.54
20,199,AAATECH,EQ,18072,10604,58.68
20,200,AADHARHFC,EQ,597919,278524,46.58
20,201,AAKAAR,SM,232000,115200,49.66
20,202,AARON,EQ,60289,20029,33.22
20,203,AARTECH,EQ,101771,64435,63.31
20,204,AARTIDRUGS,EQ,236441,77423,32.75
20,205,AARTIIND,EQ,1665826,608166,36.51
20,206,AARTIPHARM,EQ,529024,277790,52.51
20,207,AARVI,EQ,3204,2354,73.47
20,208,AATMAJ,SM,6000,6000,100.00
20,209,AAVAS,EQ,53716,18877,35.14
20,210,ABAN,EQ,45129,33770,74.83
20,211,ABB,EQ,186980,95365,51.00
20,212,ABBOTINDIA,EQ,7134,4033,56.53
20,213,ABCAPITAL,EQ,1964251,933473,47.52
20,214,ABCOTS,SM,9500,7250,76.32
20,215,ABDL,EQ,190332,91361,48.00
20,216,ABFRL,EQ,6615907,4167567,62.99
20,217,ABGSEC,EQ,587,414,70.53
20,218,ABHAPOWER,SM,32000,22400,70.00
20,219,ABLBL,EQ,2156511,1481949,68.72
20,220,ABREL,EQ,660397,179784,27.22
20,221,ABSLAMC,EQ,395557,205800,52.03
20,222,ABSLBANETF,EQ,116638,114707,98.34
20,223,ABSLLIQUID,EQ,1204,1125,93.44
20,224,ABSLNN50ET,EQ,10481,6384,60.91
20,225,ABSLPSE,EQ,110700,95780,86.52
20,226,ABSMARINE,ST,51000,50500,99.02
20,227,ACC,EQ,569821,289930,50.88
20,228,ACCELYA,EQ,3171,1887,59.51
20,229,ACCENTMIC,SM,38500,31500,81.82
20,230,ACCPL,SM,24000,22800,95.00
20,231,ACCURACY,EQ,119900,86220,71.91
20,232,ACE,EQ,153723,79825,51.93
20,233,ACEINTEG,EQ,3526,1926,54.62
20,234,ACI,EQ,203618,78221,38.42
20,235,ACL,EQ,16750,11433,68.26
20,236,ACLGATI,EQ,105176,44150,41.98
20,237,ACMESOLAR,EQ,932959,429233,46.01
20,238,ACTIVEINFR,SM,1200,1200,100.00
20,239,ACUTAAS,EQ,217489,114502,52.65
20,240,ADANIENSOL,EQ,724832,361497,49.87
20,241,ADANIENT,EQ,316424,95937,30.32
20,242,ADANIGREEN,EQ,1733780,430548,24.83
20,243,ADANIPORTS,EQ,740816,354397,47.84
20,244,ADANIPOWER,EQ,1920037,714564,37.22
20,245,ADFFOODS,EQ,48081,22782,47.38
20,246,ADOR,EQ,4639,2430,52.38
20,247,ADROITINFO,EQ,194225,139863,72.01
20,248,ADSL,EQ,67463,33969,50.35
20,249,ADVANIHOTR,EQ,38960,23371,59.99
20,250,ADVENZYMES,EQ,157563,92110,58.46
20,251,AEGISLOG,EQ,159980,74302,46.44
20,252,AEGISVOPAK,EQ,882774,481386,54.53
20,253,AEL170725A,NG,188,188,100.00
20,254,AEROENTER,EQ,200369,123149,61.46
20,255,AEROFLEX,EQ,2214156,498476,22.51
20,256,AERON,SM,43000,31000,72.09
20,257,AESTHETIK,ST,24000,24000,100.00
20,258,AETHER,EQ,122365,66630,54.45
20,259,AFCONS,EQ,972923,434135,44.62
20,260,AFFLE,EQ,66751,32838,49.19
20,261,AFFORDABLE,EQ,13342,5802,43.49
20,262,AFIL,EQ,1184317,647766,54.70
20,263,AFSL,EQ,53685,28066,52.28
20,264,AGARIND,EQ,12166,6454,53.05
20,265,AGARWALEYE,EQ,333813,217376,65.12
20,266,AGARWALFT,SM,24000,19500,81.25
20,267,AGARWALTUF,ST,9600,9600,100.00
20,268,AGI,EQ,4150753,496712,11.97
20,269,AGIIL,EQ,57979,25458,43.91
20,270,AGNI,ST,12500,10000,80.00
20,271,AGRITECH,EQ,20216,12031,59.51
20,272,AGROPHOS,EQ,18467,8345,45.19
20,273,AHLADA,EQ,10366,8540,82.38
20,274,AHLEAST,EQ,9495,6820,71.83
20,275,AHLUCONT,EQ,63201,29646,46.91
20,276,AIAENG,EQ,17034,10072,59.13
20,277,AIIL,EQ,183307,57800,31.53
20,278,AILIMITED,ST,3000,3000,100.00
20,279,AIMTRON,SM,40800,21200,51.96
20,280,AIRAN,EQ,148587,99244,66.79
20,281,AIROLAM,EQ,3656,2331,63.76
20,282,AIRTELPP,E1,133369,79143,59.34
20,283,AJANTPHARM,EQ,57815,30265,52.35
20,284,AJAXENGG,EQ,63748,36581,57.38
20,285,AJMERA,EQ,51860,29102,56.12
20,286,AJOONI,EQ,290138,230653,79.50
20,287,AKANKSHA,ST,1000,1000,100.00
20,288,AKASH,EQ,10149,5408,53.29
20,289,AKG,EQ,120495,80809,67.06
20,290,AKIKO,SM,112000,70400,62.86
20,291,AKSHARCHEM,EQ,8456,5368,63.48
20,292,AKSHOPTFBR,EQ,91529,58606,64.03
20,293,AKUMS,EQ,89074,34239,38.44
20,294,AKZOINDIA,EQ,71095,31817,44.75
20,295,ALANKIT,EQ,269407,142273,52.81
20,296,ALBERTDAVD,EQ,1890,1289,68.20
20,297,ALEMBICLTD,EQ,339315,144512,42.59
20,298,ALICON,EQ,16774,8011,47.76
20,299,ALIVUS,EQ,50795,30792,60.62
20,300,ALKALI,EQ,8301,5902,71.10
20,301,ALKEM,EQ,44660,21635,48.44
20,302,ALKYLAMINE,EQ,30649,10902,35.57
20,303,ALLCARGO,EQ,1992449,800187,40.16
20,304,ALLDIGI,EQ,3719,2593,69.72
20,305,ALLETEC,SM,15600,10400,66.67
20,306,ALMONDZ,EQ,193777,92564,47.77
20,307,ALOKINDS,EQ,8610848,2239626,26.01
20,308,ALPA,EQ,7770,4894,62.99
20,309,ALPEXSOLAR,SM,196000,98400,50.20
20,310,ALPHA,EQ,674831,435056,64.47
20,311,ALPHAETF,EQ,268019,212937,79.45
20,312,ALPHAGEO,EQ,8728,5558,63.68
20,313,ALPL30IETF,EQ,1479716,1270761,85.88
20,314,ALUWIND,ST,46500,43500,93.55
20,315,AMBANIORGO,SM,2000,2000,100.00
20,316,AMBER,EQ,185049,62465,33.76
20,317,AMBEY,SM,2000,2000,100.00
20,318,AMBICAAGAR,EQ,18332,10746,58.62
20,319,AMBIKCO,EQ,3984,2407,60.42
20,320,AMBUJACEM,EQ,1165692,587364,50.39
20,321,AMDIND,EQ,10999,6321,57.47
20,322,AMEYA,SM,3000,3000,100.00
20,323,AMIABLE,SM,1600,1600,100.00
20,324,AMJLAND,EQ,12001,7671,63.92
20,325,AMJUMBO,SM,64000,64000,100.00
20,326,AMNPLST,EQ,6911,5361,77.57
20,327,AMRUTANJAN,EQ,13060,5094,39.00
20,328,ANANDRATHI,EQ,234266,103158,44.03
20,329,ANANTRAJ,EQ,1964178,899379,45.79
20,330,ANDHRAPAP,EQ,107914,59543,55.18
20,331,ANDHRSUGAR,EQ,153801,82714,53.78
20,332,ANGELONE,EQ,1497960,232393,15.51
20,333,ANIKINDS,EQ,1750,928,53.03
20,334,ANLON,ST,1200,1200,100.00
20,335,ANMOL,EQ,54272,33453,61.64
20,336,ANNAPURNA,SM,38000,26750,70.39
20,337,ANTGRAPHIC,EQ,113866,107631,94.52
20,338,ANTHEM,EQ,11975338,3759517,31.39
20,339,ANUHPHR,EQ,152791,67578,44.23
20,340,ANUP,EQ,15894,7412,46.63
20,341,ANURAS,EQ,21743,16253,74.75
20,342,ANYA,SM,60000,50000,83.33
20,343,AONELIQUID,EQ,6356,4758,74.86
20,344,AONENIFTY,EQ,229541,198012,86.26
20,345,AONETOTAL,EQ,908787,592873,65.24
20,346,APARINDS,EQ,61373,32746,53.36
20,347,APCOTEXIND,EQ,11343,6056,53.39
20,348,APEX,EQ,42647,22301,52.29
20,349,APEXECO,SM,11200,9600,85.71
20,350,APLAPOLLO,EQ,300919,180489,59.98
20,351,APLLTD,EQ,73232,25673,35.06
20,352,APOLLO,EQ,1701013,758258,44.58
20,353,APOLLOHOSP,EQ,508883,361063,70.95
20,354,APOLLOPIPE,EQ,138779,73960,53.29
20,355,APOLLOTYRE,EQ,563753,298305,52.91
20,356,APOLSINHOT,EQ,3073,1564,50.89
20,357,APRAMEYA,ST,2000,2000,100.00
20,358,APS,ST,26250,23250,88.57
20,359,APTUS,EQ,1043708,756865,72.52
20,360,ARABIAN,SM,18000,12000,66.67
20,361,ARCHIDPLY,EQ,4238,2292,54.08
20,362,ARE&M,EQ,610994,316915,51.87
20,363,ARFIN,EQ,228994,123984,54.14
20,364,ARHAM,SM,9000,8000,88.89
20,365,ARIES,EQ,36909,19740,53.48
20,366,ARIHANTACA,SM,3200,3200,100.00
20,367,ARIHANTCAP,EQ,4308024,1197012,27.79
20,368,ARIHANTSUP,EQ,24243,12473,51.45
20,369,ARISINFRA,EQ,2768310,1909338,68.97
20,370,ARISTO,ST,6400,6400,100.00
20,371,ARKADE,EQ,1009820,330213,32.70
20,372,ARMANFIN,EQ,28799,13721,47.64
20,373,AROGRANITE,EQ,10579,5647,53.38
20,374,ARTEMISMED,EQ,50755,27777,54.73
20,375,ARUNAYA,ST,18000,16000,88.89
20,376,ARVEE,EQ,782,570,72.89
20,377,ARVIND,EQ,178134,80139,44.99
20,378,ARVINDFASN,EQ,1053469,717970,68.15
20,379,ARVINDPORT,ST,9000,9000,100.00
20,380,ARVSMART,EQ,325634,214518,65.88
20,381,ASAHIINDIA,EQ,188262,92960,49.38
20,382,ASAL,EQ,70369,12216,17.36
20,383,ASALCBR,EQ,85152,71841,84.37
20,384,ASHALOG,SM,19000,18000,94.74
20,385,ASHAPURMIN,EQ,1035090,318431,30.76
20,386,ASHIANA,EQ,51685,19148,37.05
20,387,ASHOKA,EQ,406530,195299,48.04
20,388,ASHOKAMET,EQ,15108,9574,63.37
20,389,ASHOKLEY,EQ,4574233,2668138,58.33
20,390,ASIANENE,EQ,59052,40993,69.42
20,391,ASIANPAINT,EQ,368999,188409,51.06
20,392,ASKAUTOLTD,EQ,111282,58763,52.81
20,393,ASMS,EQ,273254,185129,67.75
20,394,ASPINWALL,EQ,11341,6652,58.65
20,395,ASTEC,EQ,54574,36085,66.12
20,396,ASTERDM,EQ,1733709,756580,43.64
20,397,ASTRAL,EQ,998658,507914,50.86
20,398,ASTRAMICRO,EQ,261872,131509,50.22
20,399,ASTRAZEN,EQ,23793,8435,35.45
20,400,ASTRON,EQ,18959,10332,54.50
20,401,ATAM,EQ,10739,6203,57.76
20,402,ATCENERGY,SM,98400,55200,56.10
20,403,ATGL,EQ,398214,141736,35.59
20,404,ATHERENERG,EQ,159185,65349,41.05
20,405,ATL,EQ,163168,99075,60.72
20,406,ATLANTAA,EQ,18358,13031,70.98
20,407,ATMASTCO,SM,88800,61600,69.37
20,408,ATUL,EQ,33625,16847,50.10
20,409,ATULAUTO,EQ,32870,18161,55.25
20,410,AUBANK,EQ,3208507,1506024,46.94
20,411,AURDIS,SM,1250,1250,100.00
20,412,AURIONPRO,EQ,396248,249505,62.97
20,413,AUROIMPEX,SM,12800,11200,87.50
20,414,AUROPHARMA,EQ,547355,194713,35.57
20,415,AURUM,EQ,809458,281524,34.78
20,416,AUSL,ST,46000,46000,100.00
20,417,AUTOAXLES,EQ,25420,23504,92.46
20,418,AUTOBEES,EQ,182997,102895,56.23
20,419,AUTOIETF,EQ,439646,283145,64.40
20,420,AUTOIND,EQ,29123,18507,63.55
20,421,AVADHSUGAR,EQ,54705,35482,64.86
20,422,AVALON,EQ,287277,180866,62.96
20,423,AVANTEL,EQ,726607,321029,44.18
20,424,AVANTIFEED,EQ,128484,74059,57.64
20,425,AVG,EQ,29591,20820,70.36
20,426,AVIANSH,SM,11000,9000,81.82
20,427,AVL,EQ,78610,52302,66.53
20,428,AVONMORE,EQ,535216,279157,52.16
20,429,AVPINFRA,SM,90400,59200,65.49
20,430,AVROIND,EQ,9304,7058,75.86
20,431,AVTNPL,EQ,229566,98673,42.98
20,432,AWFIS,EQ,89130,43830,49.18
20,433,AWHCL,EQ,73096,40903,55.96
20,434,AWL,EQ,7536041,5824824,77.29
20,435,AXISBANK,EQ,6633979,5097356,76.84
20,436,AXISBNKETF,EQ,3382,3261,96.42
20,437,AXISBPSETF,EQ,56935,54736,96.14
20,438,AXISCETF,EQ,4571,4479,97.99
20,439,AXISGOLD,EQ,335207,229323,68.41
